web ,ref,Kingdom,Phylum,Class,Order,Family,Genus,Species,Sub/Var,Common Name
1,1,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens,,yellow perch juv
4,2,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens,,yellow perch
5,3,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus ,salmoides,,largemouth bass juv.
6,4,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus ,salmoides,,largemouth bass
7,5,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,,rock bass juv.
8,6,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,,rock bass
9,7,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,,black crappie juv.
10,8,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,,black crappie
11,9,Animalia,Chordata,Osteichthyes,Esociformes,Umbridae,Umbra,nf,,mudminnow
12,10,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucus,,shiner
13,11,Animalia,Chordata,nf,nf,nf,nf,nf,,fish eggs
15,12,Animalia,Arthropoda,Maxillopoda,Copepoda,Diaptomidae,Diaptomus,minutus,,pelagic copepod
16,13,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Diacyclops,thomasi,,pelagic copepod
17,14,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Mesocyclops,edax,,pelagic copepod
18,15,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Tropocyclops,prasinus,,pelagic copepod
19,16,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Temoridae,Epischura,lacustris,,pelagic copepod
20,17,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Bosmina,longirostris,,pelagic cladocera
21,18,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Eubosmina,nf,,pelagic cladocera
22,19,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Daphnia,galeata,mendotae,pelagic cladocera
23,20,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Daphnia,parvula,,pelagic cladocera
24,21,Animalia,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,birgei,,pelagic cladocera
25,22,Animalia,Arthropoda,Branchiopoda,Cladocera,Holopedidae,Holopedium,gibberum,,pelagic cladocera
26,23,Animalia,Arthropoda,Branchiopoda,Cladocera,Leptodoridae,Leptodora,kindtii,,pelagic cladocera
27,24,Animalia,Arthropoda,Branchiopoda,Cladocera,Polyphemidae,Polyphemus,pediculuc,,pelagic cladocera
28,25,Animalia,Rotifera,Monogonanta,Flosculariacea,Conochilidae,Conochilus,unicornis,,pelagic rotifers
29,26,Animalia,Rotifera,Monogonanta,Flosculariacea,Conochilidae,Conochiloides,nf,,pelagic rotifers
30,27,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Kellicottia,longispina,,pelagic rotifers
31,28,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Kellicottia,bostoniensis,,pelagic rotifers
32,29,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,cochlearis,,pelagic rotifers
33,30,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,taurocephala,,pelagic rotifers
34,31,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,crassa,,pelagic rotifers
35,32,Animalia,Rotifera,Monogonanta,Ploima,Brachionidae,Keratella,hiemalis,,pelagic rotifers
36,33,Animalia,Rotifera,Monogonanta,Ploima,Dicranophoridae,Polyarthra,remata,,pelagic rotifers
37,34,Animalia,Rotifera,Monogonanta,Ploima,Dicranophoridae,Polyarthra,vulgaris,,pelagic rotifers
38,35,Animalia,Rotifera,Monogonanta,Ploima,Trichocercidae,Trichocerca,cylindrica,,pelagic rotifers
39,36,Animalia,Rotifera,Monogonanta,Ploima,Asplanchidae,Asplanchna,nf,,pelagic rotifers
40,37,Animalia,Rotifera,Monogonanta, , ,Gastropus,nf,,pelagic rotifers
41,38,Animalia,Rotifera,Monogonanta, , ,Synchaeta,nf,,pelagic rotifers
42,39,Animalia,Arthropdoa,Maxillopoda,Copepoda,nf,Nauplii,nf,,juvenile pelagic zooplankton
43,40,Animalia,Rotifera,Monogonanta,nf,nf,nf,nf,,juvenile pelagic zooplankton
44,41,Animalia,Rotifera,Monogonanta,nf,nf,nf,nf,,juvenile pelagic zooplankton
47,42,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,affinis,,benthic cladocera
48,43,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,quadrangularis,,benthic cladocera
49,44,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,rustica,,benthic cladocera
50,45,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,intermedia,,benthic cladocera
51,46,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,excisa,,benthic cladocera
52,47,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Disparalona,acutirostris,,benthic cladocera
53,48,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,sp1,,benthic cladocera
54,49,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,sp2,,benthic cladocera
55,50,Animalia,Arthropoda,Branchiopoda,Cladocera,Macrothricidae,Acantholeberis,curvirostris,,benthic cladocera
56,51,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Ophryoxus,gracilis,,benthic cladocera
57,52,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Scapholeberis,kingi,,benthic cladocera
58,53,Animalia,Arthropoda,Branchiopoda,Cladocera,Sididae,Sida,crystallina,,benthic cladocera
59,54,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Macrocyclops,albidus,,benthic copepods
60,55,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Eucyclops,serrulatus,,benthic copepods
61,56,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Acanthocyclops,nf,,benthic copepods
62,57,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Microcyclops,rubellus,,benthic copepods
63,58,Animalia,Arthropoda,Maxillopoda,Eucopepoda,nf,nf,nf,,benthic copepods
64,59,Animalia,Arthropoda,Maxillopoda,Eucopepoda,nf,nf,nf,,benthic copepods
65,60,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Gerris,nf,,hemiptera
66,61,Animalia,Arthropoda,Insecta,Coleoptera,Coleoptera,Hydroporus,nf,,coleoptera
67,62,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,nf,,ephemeroptera
68,63,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,nf,,ephemeroptera
69,64,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,nf,,trichoptera
70,65,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,nf,,trichoptera
71,66,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,nf,,trichoptera
72,67,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,nf,,trichoptera
73,68,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Banksiola,nf,,trichoptera
74,69,Animalia,Arthropoda,Insecta,Trichoptera,Molannidae,Molanna,nf,,trichoptera
75,70,Animalia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Polycentropus,nf,,trichoptera
76,71,Animalia,Arthropoda,Insecta,Odonata,,Anisopetra ,nf,,odonata
77,72,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,nf,,odonata
78,73,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,nf,,odonata
79,74,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,nf,,odonata
80,75,Animalia,Arthropoda,Insecta,Neuroptera,Sisyridae,Climacia,nf,,neuroptera
82,76,Animalia,Arthropoda,Insecta,Hemiptera,Vellidae,nf,nf,,hemiptera
83,77,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,nf,nf,,hemiptera
84,78,Animalia,Arthropoda,Insecta,Megaloptera,Sialidae,Sialis,nf,,megaloptera
