"","name","type"
"1","Cryptomonas ovata","phyto"
"2","Botryococcus braunii","phyto"
"3","Tabellaria fenestrata","phyto"
"4","Cryptomonas caudata","phyto"
"5","Gymnodinium sp.","phyto"
"6","Glenodinium quadridens","phyto"
"7","Arthrodesmus subulatus","phyto"
"8","Mallomonaas acaroides","phyto"
"9","Dinobryon cylindricum","phyto"
"10","Chrysosphaerella longispina (colonial)","phyto"
"11","Misc. micros, 1 flagellum","phyto"
"12","Peridinium cinctum","phyto"
"13","Cryptomonas 2 (<22)","phyto"
"14","Peridinium umbonatum","phyto"
"15","Monomastix astigmata","phyto"
"16","Kephyrion sp. 1","phyto"
"17","Kephyrion sp. 2","phyto"
"18","non-motile chorococcales","phyto"
"19","Selenastrum sp.","phyto"
"20","Dictyosphaerium pulchellum","phyto"
"21","Sphaerocystis schroeteri","phyto"
"22","Merismopedia tenuissima","phyto"
"23","Dinobryon sp. 11","phyto"
"24","colonial chlorophyta - type 2","phyto"
"25","Dinobryon sp. 6","phyto"
"26","Oocystis sp. 1","phyto"
"27","Arthrodesmus octocornis","phyto"
"28","Dactylococcopsis smithii","phyto"
"29","Mallomonas sp. 3","phyto"
"30","Dinobryon bavaricum","phyto"
"31","Teilingia granulata","phyto"
"32","Aphanizomenon flos-aquae (single filament)","phyto"
"33","cysts","phyto"
"34","Diceras sp.","phyto"
"35","Gloeocystis sp.","phyto"
"36","Stichogloea olivacea","phyto"
"37","Staurastrum ophiura","phyto"
"38","misc. chain desmid","phyto"
"39","Dinobryon sp. 10","phyto"
"40","Cryptomonas 1 (<14)","phyto"
"41","Cerasterias sp.","phyto"
"42","Arthrodesmus sp.","phyto"
"43","Synura uvella/spahgnicola (colonial)","phyto"
"44","Scenedesmus sp.","phyto"
"45","Crucigenia rectangularis","phyto"
"46","Gonyostomum sp.","phyto"
"47","Peridinium wisconsinense","phyto"
"48","misc. naked dinoflagellate","phyto"
"49","Dinobryon monads","phyto"
"50","Crucigenia sp.","phyto"
"51","Selenastrum minutum","phyto"
"52","Hyalobryon polymorphum","phyto"
"53","colonial cyanophyta - type 1","phyto"
"54","Aphanocapsa elachista","phyto"
"55","misc. taxon","phyto"
"56","Synura uvella/sphagnicola","phyto"
"57","Kephyrion sp. 5","phyto"
"58","Trachelomonas sp.","phyto"
"59","Peridinium limbatum","phyto"
"60","Schroederia sp.","phyto"
"61","Quadrigula sp.","phyto"
"62","Kephyrion sp. 4","phyto"
"63","Closteriopsis longissima","phyto"
"64","Mallomonaas caudata","phyto"
"65","Mallomonas sp.","phyto"
"66","Kephyrion sp. 7","phyto"
"67","Chrysosphaerella sp.","phyto"
"68","Misc. chlorophyte","phyto"
"69","Dinobryon divergens","phyto"
"70","Nitzschia sp.","phyto"
"71","misc. motile chrysophyte","phyto"
"72","Mallomonaas akrokomos","phyto"
"73","Mougeotia sp.","phyto"
"74","Oocystis sp. 2","phyto"
"75","Asterionella formosa","phyto"
"76","Arthrodesmus incus","phyto"
"77","Navicula sp.","phyto"
"78","Nostoc sp. (single trichomes)","phyto"
"79","Gomphosphaeria sp.","phyto"
"80","Tetracystis sp.","phyto"
"81","Dinobryon sp. 4","phyto"
"82","Dinobryon cyst","phyto"
"83","Dinobryon sp. 5","phyto"
"84","Dinobryon sp. 2","phyto"
"85","Ankistrodesmus falcatus","phyto"
"86","Quadrigula lacustris","phyto"
"87","Staurastrum dejectum","phyto"
"88","Lepocinclis fusiformis","phyto"
"89","Dinobryon sp. 3","phyto"
"90","Dinobryon sp. ","phyto"
"91","Ankistrodesmus sp.","phyto"
"92","Xanthidium sp.","phyto"
"93","Haptophytes","phyto"
"94","Cosmarium sp.","phyto"
"95","Misc. Diatom","phyto"
"96","Euglena garcilis (form 1)","phyto"
"97","Gloeocystis ampla (ovoid)","phyto"
"98","Microcystis aeruginosa (<65)","phyto"
"99","Microcystis aeruginosa (>65)","phyto"
"100","Ankyra judayi","phyto"
"101","Chrysochromulina sp.","phyto"
"102","Ceratium hirudinella","phyto"
"103","Oscillatoria sp.","phyto"
"104","Dactylococcopsis fascicularis (<40)","phyto"
"105","Peridinium sp.","phyto"
"106","Anabaena circinalis","phyto"
"107","Golenkinia sp.","phyto"
"108","Cryptomonas marsonii","phyto"
"109","Rhizolenia sp.","phyto"
"110","Chroococcus dispersus","phyto"
"111","Dinobryon sp.","phyto"
"112","Dactylococcopsis sp.","phyto"
"113","Dinobryon sociale","phyto"
"114","Frustulia sp.","phyto"
"115","Menoidium tortuosum","phyto"
"116","Synura sp. (colonial)","phyto"
"117","Staurastrum sp.","phyto"
"118","Ankistrodesmus setigerus","phyto"
"119","Kephyrion sp. 6","phyto"
"120","misc. chrysophyte","phyto"
"121","Dinobryon sp. 12","phyto"
"122","Anabaena planctonica","phyto"
"123","Tetracystis pulchra","phyto"
"124","Gloeocystis planctonica","phyto"
"125","Cosmarium sp. (spiny)","phyto"
"126","Bosmina longirostris","zoop"
"127","Copepodite","zoop"
"128","Nauplii","zoop"
"129","Orthocyclops modestus","zoop"
"130","Tropocyclops prasinus mexicanus","zoop"
"131","Synchaeta sp.","zoop"
"132","single Conochilus sp,","zoop"
"133","Gastropus hyptopus","zoop"
"134","Gastropus stylifer","zoop"
"135","Kellicotia bostoniensis","zoop"
"136","Keratella cochlearis","zoop"
"137","Polyarthra vulgaris","zoop"
"138","Trichocerca multicrinis","zoop"
"139","Keratella testudo","zoop"
"140","Daphnia pulex","zoop"
"141","Ascomorpha ecaudis","zoop"
"142","Filinia longispina","zoop"
"143","Diaphanosoma birgei","zoop"
"144","Ploesoma sp.","zoop"
"145","Trichocerca cylindrica","zoop"
"146","Leptodiaptomus sp.","zoop"
"147","Holopedium gibberum","zoop"
"148","Cyclops varicans rubellus","zoop"
"149","Daphnia rosea","zoop"
"150","colonial Conochilus sp.","zoop"
"151","Conochiloides dossuarius","zoop"
"152","Polyphemus","zoop"
"153","Diaptomus oregonensis","zoop"
"154","Kellicotia longispina","zoop"
"155","Mesocyclops edax","zoop"
"156","Alona","zoop"
"157","Daphnia dubia","zoop"
"158","Polyarthra major","zoop"
"159","Daphnia parvula","zoop"
"160","Diacyclops thomasi","zoop"
"161","Asplanchna sp.","zoop"
"162","Keratella taurocephala","zoop"
"163","Ceriodaphnia","zoop"
"164","Bosmina","zoop"
"165","Cyclopoid","zoop"
"166","Mesocyclops","zoop"
"167","Chydorus","zoop"
"168","Diaphanasoma","zoop"
"169","Daphnia","zoop"
