"","x"
"1","Cryptomonas ovata"
"2","Botryococcus braunii"
"3","Tabellaria fenestrata"
"4","Cryptomonas caudata"
"5","Gymnodinium sp."
"6","Glenodinium quadridens"
"7","Arthrodesmus subulatus"
"8","Mallomonaas acaroides"
"9","Dinobryon cylindricum"
"10","Chrysosphaerella longispina (colonial)"
"11","Misc. micros, 1 flagellum"
"12","Peridinium cinctum"
"13","Cryptomonas 2 (<22)"
"14","Peridinium umbonatum"
"15","Monomastix astigmata"
"16","Kephyrion sp. 1"
"17","Kephyrion sp. 2"
"18","non-motile chorococcales"
"19","Selenastrum sp."
"20","Dictyosphaerium pulchellum"
"21","Sphaerocystis schroeteri"
"22","Merismopedia tenuissima"
"23","Dinobryon sp. 11"
"24","colonial chlorophyta - type 2"
"25","Dinobryon sp. 6"
"26","Oocystis sp. 1"
"27","Arthrodesmus octocornis"
"28","Dactylococcopsis smithii"
"29","Mallomonas sp. 3"
"30","Dinobryon bavaricum"
"31","Teilingia granulata"
"32","Aphanizomenon flos-aquae (single filament)"
"33","cysts"
"34","Diceras sp."
"35","Gloeocystis sp."
"36","Stichogloea olivacea"
"37","Staurastrum ophiura"
"38","misc. chain desmid"
"39","Dinobryon sp. 10"
"40","Cryptomonas 1 (<14)"
"41","Cerasterias sp."
"42","Arthrodesmus sp."
"43","Synura uvella/spahgnicola (colonial)"
"44","Scenedesmus sp."
"45","Crucigenia rectangularis"
"46","Gonyostomum sp."
"47","Peridinium wisconsinense"
"48","misc. naked dinoflagellate"
"49","Dinobryon monads"
"50","Crucigenia sp."
"51","Selenastrum minutum"
"52","Hyalobryon polymorphum"
"53","colonial cyanophyta - type 1"
"54","Aphanocapsa elachista"
"55","misc. taxon"
"56","Synura uvella/sphagnicola"
"57","Kephyrion sp. 5"
"58","Trachelomonas sp."
"59","Peridinium limbatum"
"60","Schroederia sp."
"61","Quadrigula sp."
"62","Kephyrion sp. 4"
"63","Closteriopsis longissima"
"64","Mallomonaas caudata"
"65","Mallomonas sp."
"66","Kephyrion sp. 7"
"67","Chrysosphaerella sp."
"68","Misc. chlorophyte"
"69","Dinobryon divergens"
"70","Nitzschia sp."
"71","misc. motile chrysophyte"
"72","Mallomonaas akrokomos"
"73","Mougeotia sp."
"74","Oocystis sp. 2"
"75","Asterionella formosa"
"76","Arthrodesmus incus"
"77","Navicula sp."
"78","Nostoc sp. (single trichomes)"
"79","Gomphosphaeria sp."
"80","Tetracystis sp."
"81","Dinobryon sp. 4"
"82","Dinobryon cyst"
"83","Dinobryon sp. 5"
"84","Dinobryon sp. 2"
"85","Ankistrodesmus falcatus"
"86","Quadrigula lacustris"
"87","Staurastrum dejectum"
"88","Lepocinclis fusiformis"
"89","Dinobryon sp. 3"
"90","Dinobryon sp. "
"91","Ankistrodesmus sp."
"92","Xanthidium sp."
"93","Haptophytes"
"94","Cosmarium sp."
"95","Misc. Diatom"
"96","Euglena garcilis (form 1)"
"97","Gloeocystis ampla (ovoid)"
"98","Microcystis aeruginosa (<65)"
"99","Microcystis aeruginosa (>65)"
"100","Ankyra judayi"
"101","Chrysochromulina sp."
"102","Ceratium hirudinella"
"103","Oscillatoria sp."
"104","Dactylococcopsis fascicularis (<40)"
"105","Peridinium sp."
"106","Anabaena circinalis"
"107","Golenkinia sp."
"108","Cryptomonas marsonii"
"109","Rhizolenia sp."
"110","Chroococcus dispersus"
"111","Dinobryon sp."
"112","Dactylococcopsis sp."
"113","Dinobryon sociale"
"114","Frustulia sp."
"115","Menoidium tortuosum"
"116","Synura sp. (colonial)"
"117","Staurastrum sp."
"118","Ankistrodesmus setigerus"
"119","Kephyrion sp. 6"
"120","misc. chrysophyte"
"121","Dinobryon sp. 12"
"122","Anabaena planctonica"
"123","Tetracystis pulchra"
"124","Gloeocystis planctonica"
"125","Cosmarium sp. (spiny)"
