"","x"
"1","Bosmina longirostris"
"2","Copepodite"
"3","Nauplii"
"4","Orthocyclops modestus"
"5","Tropocyclops prasinus mexicanus"
"6","Synchaeta sp."
"7","single Conochilus sp,"
"8","Gastropus hyptopus"
"9","Gastropus stylifer"
"10","Kellicotia bostoniensis"
"11","Keratella cochlearis"
"12","Polyarthra vulgaris"
"13","Trichocerca multicrinis"
"14","Keratella testudo"
"15","Daphnia pulex"
"16","Ascomorpha ecaudis"
"17","Filinia longispina"
"18","Diaphanosoma birgei"
"19","Ploesoma sp."
"20","Trichocerca cylindrica"
"21","Leptodiaptomus sp."
"22","Holopedium gibberum"
"23","Cyclops varicans rubellus"
"24","Daphnia rosea"
"25","colonial Conochilus sp."
"26","Conochiloides dossuarius"
"27","Polyphemus"
"28","Diaptomus oregonensis"
"29","Kellicotia longispina"
"30","Mesocyclops edax"
"31","Alona"
"32","Daphnia dubia"
"33","Polyarthra major"
"34","Daphnia parvula"
"35","Diacyclops thomasi"
"36","Asplanchna sp."
"37","Keratella taurocephala"
"38","Ceriodaphnia"
"39","Bosmina"
"40","Cyclopoid"
"41","Mesocyclops"
"42","Chydorus"
"43","Diaphanasoma"
"44","Daphnia"
