lakename,year4,daynum,sampledate,depth,depth_id,doc,DIC_uM,DIC_mg,air_pco2,water_pco2,tpc,tpn
"Allequash Lake",2003,224,2003-08-12,"Surface",1,3.92,,,,,,
"Bergner Lake",2001,141,2001-05-21,"Surface",1,8,,,,,,
"Bergner Lake",2001,167,2001-06-16,"Surface",1,7.17,,,,,,
"Bergner Lake",2001,201,2001-07-20,"Surface",1,7.12,,,,,,
"Bergner Lake",2001,236,2001-08-24,"Surface",1,6.44,,,,,,
"Bergner Lake",2002,152,2002-06-01,"Surface",1,6.69,,,,,,
"Bergner Lake",2002,177,2002-06-26,"Surface",1,7.13,,,,,,
"Bergner Lake",2002,198,2002-07-17,"Surface",1,8.03,,,,,,
"Bergner Lake",2002,230,2002-08-18,"Surface",1,6.54,,,,,,
"Bergner Lake",2003,150,2003-05-30,"Surface",1,9.08,,,,,,
"Bergner Lake",2003,177,2003-06-26,"Surface",1,7.2,,,,,,
"Bergner Lake",2003,205,2003-07-24,"Surface",1,7.13,,,,,,
"Bergner Lake",2003,233,2003-08-21,"Surface",1,6.54,,,,,,
"Big Muskellunge Lake",2003,226,2003-08-14,"Surface",1,3.13,,,,,,
"Bolger Bog",2001,144,2001-05-24,"Surface",1,14.23,,,,,,
"Bolger Bog",2001,167,2001-06-16,"Surface",1,14.99,,,,,,
"Bolger Bog",2001,202,2001-07-21,"Surface",1,13.85,,,,,,
"Bolger Bog",2001,236,2001-08-24,"Surface",1,15.17,,,,,,
"Bolger Bog",2002,152,2002-06-01,"Surface",1,11.76,,,,,,
"Bolger Bog",2002,177,2002-06-26,"Surface",1,13.01,,,,,,
"Bolger Bog",2002,198,2002-07-17,"Surface",1,14.96,,,,,,
"Bolger Bog",2002,230,2002-08-18,"Surface",1,15.4,,,,,,
"Bolger Bog",2003,150,2003-05-30,"Surface",1,13.71,,,,,,
"Bolger Bog",2003,177,2003-06-26,"Surface",1,11.84,,,,,,
"Bolger Bog",2003,205,2003-07-24,"Surface",1,13.18,,,,,,
"Bolger Bog",2003,233,2003-08-21,"Surface",1,13.02,,,,,,
"Brown Lake",2001,143,2001-05-23,"Surface",1,7.9,,,,,,
"Brown Lake",2001,168,2001-06-17,"Surface",1,8.06,,,,,,
"Brown Lake",2001,201,2001-07-20,"Surface",1,7.86,,,,,,
"Brown Lake",2001,206,2001-07-25,"Surface",1,7.64,,,,,,
"Brown Lake",2001,237,2001-08-25,"Surface",1,7.79,,,,,,
"Brown Lake",2002,152,2002-06-01,"Surface",1,7.67,,,,,,
"Brown Lake",2002,177,2002-06-26,"Surface",1,9.53,,,,,,
"Brown Lake",2002,198,2002-07-17,"Surface",1,9.05,,,,,,
"Brown Lake",2002,230,2002-08-18,"Surface",1,7.55,,,,,,
"Brown Lake",2003,150,2003-05-30,"Surface",1,11.71,,,,,,
"Brown Lake",2003,176,2003-06-25,"Surface",1,8.76,,,,,,
"Brown Lake",2003,204,2003-07-23,"Surface",1,8.5,,,,,,
"Brown Lake",2003,232,2003-08-20,"Surface",1,8.89,,,,,,
"Cranberry Bog",2001,142,2001-05-22,"Surface",1,12.13,,,,,,
"Cranberry Bog",2001,168,2001-06-17,"Surface",1,12.13,,,,,,
"Cranberry Bog",2001,202,2001-07-21,"Surface",1,12.38,,,,,,
"Cranberry Bog",2001,236,2001-08-24,"Surface",1,11.52,,,,,,
"Cranberry Bog",2002,152,2002-06-01,"Surface",1,10.68,,,,,,
"Cranberry Bog",2002,177,2002-06-26,"Surface",1,11.78,,,,,,
"Cranberry Bog",2002,198,2002-07-17,"Surface",1,12.09,,,,,,
"Cranberry Bog",2002,229,2002-08-17,"Surface",1,11.95,,,,,,
"Cranberry Bog",2003,150,2003-05-30,"Surface",1,13.07,,,,,,
"Cranberry Bog",2003,177,2003-06-26,"Surface",1,11.54,,,,,,
"Cranberry Bog",2003,205,2003-07-24,"Surface",1,10.56,,,,,,
"Cranberry Bog",2003,232,2003-08-20,"Surface",1,9.75,,,,,,
"East Long Lake",1988,155,1988-06-03,"Epilimnion",-1,5.55,,,,,1.57,0.1
"East Long Lake",1988,169,1988-06-17,"Epilimnion",-1,6.46,,,,,1.13,0.09
"East Long Lake",1988,183,1988-07-01,"Epilimnion",-1,6.46,,,,,0.79,0.18
"East Long Lake",1988,197,1988-07-15,"Epilimnion",-1,5.19,,,,,1.57,0.07
"East Long Lake",1988,211,1988-07-29,"Epilimnion",-1,6.31,,,,,0.69,0.07
"East Long Lake",1988,225,1988-08-12,"Epilimnion",-1,6.19,,,,,0.45,0.07
"East Long Lake",1988,239,1988-08-26,"Epilimnion",-1,6.03,,,,,1.15,0.08
"East Long Lake",1989,146,1989-05-26,"Epilimnion",-1,6.93,,,,,0.95,0.1
"East Long Lake",1989,161,1989-06-10,"Epilimnion",-1,8.22,,,,,0.92,0.1
"East Long Lake",1989,174,1989-06-23,"Epilimnion",-1,9.25,,,,,3.23,0.29
"East Long Lake",1989,188,1989-07-07,"Epilimnion",-1,9.52,,,,,0.92,0.11
"East Long Lake",1989,202,1989-07-21,"Epilimnion",-1,8.77,,,,,1.2,0.08
"East Long Lake",1989,216,1989-08-04,"Epilimnion",-1,8.46,,,,,0.7,0.07
"East Long Lake",1989,235,1989-08-23,"Epilimnion",-1,7.77,,,,,0.96,0.07
"East Long Lake",1989,251,1989-09-08,"Epilimnion",-1,6.99,,,,,0.58,0.05
"East Long Lake",1990,152,1990-06-01,"Epilimnion",-1,7.23,,,,,,
"East Long Lake",1990,166,1990-06-15,"Epilimnion",-1,8.07,,,,,0.58,0.06
"East Long Lake",1990,180,1990-06-29,"Epilimnion",-1,7.96,,,,,0.68,0.07
"East Long Lake",1990,194,1990-07-13,"Epilimnion",-1,7.65,,,,,0.87,0.07
"East Long Lake",1990,208,1990-07-27,"Epilimnion",-1,7.77,,,,,0.89,0.06
"East Long Lake",1990,222,1990-08-10,"Epilimnion",-1,6.8,,,,,0.56,0.06
