lakename,year4,daynum,sampledate,depth,depth_id,totp,tot_kjdl_n,nh34,no23,po4,tn
"East Long Lake",1994,248,1994-09-05,0.65,3,21.853,,254.842,255.628,2.678,
"East Long Lake",1994,248,1994-09-05,1.00,4,30.100,1189.995,256.959,256.157,2.752,
"East Long Lake",1994,248,1994-09-05,1.50,5,20.498,,256.597,256.681,3.571,
"East Long Lake",1994,248,1994-09-05,2.50,6,22.080,,249.037,256.179,3.730,
"East Long Lake",1994,248,1994-09-05,12.00,7,212.454,2011.558,1090.567,5.629,111.256,
"East Long Lake",1995,142,1995-05-22,0.00,1,45.570,813.526,10.928,5.778,5.794,
"East Long Lake",1995,142,1995-05-22,0.25,2,44.620,841.389,10.712,7.800,3.536,
"East Long Lake",1995,142,1995-05-22,0.40,3,43.240,809.325,7.819,6.343,3.526,
"East Long Lake",1995,142,1995-05-22,0.70,4,43.222,840.664,8.461,6.421,1.142,
"East Long Lake",1995,142,1995-05-22,0.85,5,45.712,784.558,5.172,5.432,2.106,
"East Long Lake",1995,142,1995-05-22,1.45,6,27.004,761.300,7.671,5.515,2.118,
"East Long Lake",1995,142,1995-05-22,12.00,7,148.038,1200.382,533.174,22.588,73.593,
"East Long Lake",1995,149,1995-05-29,0.00,1,30.214,626.509,7.819,6.172,2.347,
"East Long Lake",1995,149,1995-05-29,0.20,2,29.910,,5.663,6.148,2.749,
"East Long Lake",1995,149,1995-05-29,0.45,3,,,5.844,5.938,3.126,
"East Long Lake",1995,149,1995-05-29,0.70,4,39.018,,6.530,6.008,3.484,
"East Long Lake",1995,149,1995-05-29,0.90,5,48.743,,8.839,6.387,4.351,
"East Long Lake",1995,149,1995-05-29,1.50,6,41.581,779.691,6.769,6.085,2.670,
"East Long Lake",1995,149,1995-05-29,12.00,7,167.943,1359.635,702.583,19.232,60.163,
"East Long Lake",1995,156,1995-06-05,0.00,1,34.045,702.759,,,,
"East Long Lake",1995,156,1995-06-05,0.20,2,23.219,,16.897,8.884,2.920,
"East Long Lake",1995,156,1995-06-05,0.45,3,25.147,,17.817,9.581,3.140,
"East Long Lake",1995,156,1995-06-05,0.70,4,24.507,,19.223,9.335,4.731,
"East Long Lake",1995,156,1995-06-05,1.25,5,28.913,633.685,19.584,10.547,4.170,
"East Long Lake",1995,156,1995-06-05,1.50,6,23.400,,18.024,9.454,4.650,
