fish_id,food_item,number_indiv
940680,"AMPHI",3
940680,"CHIRO",2
940681,"DAPHN",228
940681,"CHIRO",10
940681,"COLEO",1
940681,"ODONN",1
940683,"BASSF",1
940686,"CHAOB",7
940686,"MITES",1
940686,"BASSF",1
940687,"OTHER",1
940687,"ODONA",1
940687,"BASSF",1
940688,"EPHEM",1
940689,"DAPHN",1
940689,"CHAOB",2
940689,"MITES",62
940689,"AMPHI",8
940689,"OTHER",1
940689,"CHIRO",2
940689,"TRICH",2
940689,"BASSF",1
940690,"DAPHN",8
940690,"MITES",15
940690,"CHIRO",1
940690,"COLEO",1
940690,"BASSF",5
940691,"OTHER",1
940691,"CHIRO",2
940691,"TRICH",2
940691,"LEECH",1
940691,"BASSF",1
940692,"AMPHI",1
940692,"OTHER",1
940692,"LEECH",1
940692,"BASSY",1
940693,"DAPHN",4
940693,"MITES",1
940693,"CHIRO",1
940693,"TRICH",2
940693,"LEECH",1
940693,"BASSF",10
940695,"DAPHN",13
940695,"CHAOB",13
940695,"MITES",4
940695,"AMPHI",1
940695,"OTHER",1
940696,"DAPHN",846
940696,"ODONN",1
940697,"DAPHN",2
940697,"AMPHI",1
940697,"ODONN",1
940697,"BASSF",5
940698,"DAPHN",676
940698,"CHAOB",4
940698,"MITES",4
940698,"OTHER",2
940698,"CHIRO",8
940699,"MITES",1
940699,"AMPHI",2
940699,"OTHER",1
940699,"CHIRO",5
940699,"COLEO",2
940699,"ODONN",1
940699,"TRICH",1
940700,"BASSF",1
940701,"DAPHN",16
940701,"CHAOB",78
940701,"AMPHI",10
940701,"MOLLU",1
940702,"CHAOB",228
940702,"MITES",7
940702,"AMPHI",2
940703,"OTHER",1
940705,"AMPHI",1
940705,"ODONN",1
940706,"DAPHN",525
940706,"CHAOB",1
940706,"CHIRO",3
940707,"DAPHN",1
940707,"MITES",264
940709,"MITES",1
940709,"BASSF",3
940710,"BASSF",17
940711,"EPHEM",1
940711,"MITES",2
940711,"BASSF",3
940712,"MITES",1
940712,"AMPHI",1
940712,"TRICH",1
940712,"BASSF",1
940713,"COLEO",1
940713,"ODONN",1
940713,"BASSF",1
940714,"DAPHN",5
940714,"EPHEM",1
940714,"MITES",8
940714,"OTHER",1
940714,"CHIRO",2
940714,"COLEO",1
940715,"TRICH",2
940716,"BASSF",4
940717,"DAPHN",12
940717,"MITES",18
940717,"BASSF",7
940718,"BASSF",1
940720,"POLYP",3
940720,"ODONA",1
940720,"BASSF",3
940722,"MITES",4
940722,"CHIRO",2
940722,"BASSF",4
940723,"EPHEM",1
940723,"CHIRO",1
940723,"BASSF",5
940724,"DAPHN",2
940724,"BASSF",3
940725,"COLEO",1
940725,"BASSF",1
940726,"BASSF",3
940727,"MITES",2
940727,"BASSF",1
940728,"ODONA",1
940728,"BASSF",2
940729,"DAPHN",11
940729,"AMPHI",1
940729,"CHIRO",1
940729,"BASSF",18
940730,"CHIRO",1
940730,"BASSF",3
940731,"TRICH",1
940731,"DACES",2
940731,"BASSF",1
940732,"BASSF",1
940733,"OTHER",1
940733,"BASSF",3
940734,"MITES",1
940734,"CHIRO",1
940734,"ODONA",2
940734,"BASSF",3
940735,"MITES",12
940735,"CHIRO",1
940735,"ODONN",1
940735,"ODONA",1
940735,"TRICH",1
940735,"BASSF",3
940737,"DAPHN",1
940737,"CHIRO",1
940737,"BASSF",1
940738,"DAPHN",28
940738,"MITES",3
940738,"BASSF",1
940739,"DAPHN",5
940739,"MITES",97
940739,"BASSF",2
940742,"DAPHN",3
940742,"MITES",47
940742,"OTHER",2
940742,"ODONN",2
940742,"BASSF",2
940743,"OTHER",2
940743,"BASSF",1
940744,"BASSF",5
940746,"MITES",8
940746,"COLEO",2
940746,"BASSF",2
940748,"TRICH",1
940749,"MITES",1
940749,"BASSF",3
940751,"BASSF",4
940752,"OTHER",1
940752,"BASSF",1
940753,"POLYP",1
940753,"DAPHN",1
940754,"MITES",7
940754,"OTHER",2
940754,"CHIRO",1
940754,"ODONN",1
940756,"OTHER",4
940756,"CHIRO",2
940756,"LEECH",1
940756,"BASSF",1
940757,"CHIRO",1
940757,"TRICH",1
940757,"LEECH",2
940757,"BASSF",2
940758,"DAPHN",1
940758,"ODONN",1
940758,"BASSF",2
940759,"DAPHN",2
940759,"ODONN",1
940761,"TRICH",12
940761,"LEECH",1
940761,"DACES",2
940762,"EPHEM",2
940762,"CHAOB",205
940762,"AMPHI",5
940762,"CHIRO",13
940762,"ODONN",1
940763,"POLYP",4
940763,"DAPHN",15
940763,"OTHER",1
940763,"CHIRO",1
940763,"BASSF",6
940764,"EPHEM",5
940764,"OTHER",1
940765,"TRICH",1
940766,"BASSF",6
940768,"ODONN",2
940768,"BASSF",3
940768,"OFISH",1
940769,"LEECH",1
940770,"MEGAL",2
940770,"OTHER",3
940770,"CHIRO",3
940770,"COLEO",8
940770,"ODONN",4
940770,"TRICH",3
940770,"LEECH",5
940771,"ODONN",1
940771,"TRICH",3
940771,"LEECH",22
940772,"ODONN",3
940772,"MOLLU",1
940773,"CHIRO",1
940773,"COLEO",2
940773,"TRICH",3
940773,"LEECH",7
940774,"OTHER",1
940774,"LEECH",1
