lakename,year4,sampledate,daynum,species
WEST LONG,1992,1992-07-05,187,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-31,213,"LARGEMOUTHBASS"
"PAUL",1992,1992-08-10,223,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-07,189,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-17,199,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-31,213,"LARGEMOUTHBASS"
WEST LONG,1992,1992-08-09,222,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-30,212,"SMALLMOUTHBASS"
WEST LONG,1992,1992-05-18,139,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-20,141,"SMALLMOUTHBASS"
WEST LONG,1992,1992-05-22,143,"LARGEMOUTHBASS"
WEST LONG,1992,1992-06-04,156,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-16,198,"LARGEMOUTHBASS"
EAST LONG,1992,1992-08-11,224,"BLUEGILL"
WEST LONG,1992,1992-05-19,140,"YELLOWPERCH"
WEST LONG,1992,1992-05-19,140,"YELLOWPERCH"
WEST LONG,1992,1992-05-20,141,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-22,143,"YELLOWPERCH"
WEST LONG,1992,1992-06-05,157,"YELLOWPERCH"
WEST LONG,1992,1992-06-18,170,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-30,212,"LARGEMOUTHBASS"
WEST LONG,1992,1992-08-09,222,"LARGEMOUTHBASS"
"PAUL",1992,1992-06-18,170,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-17,138,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-19,140,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-20,141,"SMALLMOUTHBASS"
EAST LONG,1992,1992-08-09,222,"BLUEGILL"
"PAUL",1992,1992-05-19,140,"LARGEMOUTHBASS"
"PAUL",1992,1992-07-30,212,"LARGEMOUTHBASS"
"PAUL",1992,1992-07-30,212,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-17,138,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-07,189,"LARGEMOUTHBASS"
WEST LONG,1992,1992-08-11,224,"LARGEMOUTHBASS"
"PAUL",1992,1992-07-17,199,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-17,138,"LARGEMOUTHBASS"
WEST LONG,1992,1992-06-04,156,"YELLOWPERCH"
WEST LONG,1992,1992-05-20,141,"LARGEMOUTHBASS"
WEST LONG,1992,1992-06-05,157,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-16,198,"LARGEMOUTHBASS"
WEST LONG,1992,1992-07-16,198,"LARGEMOUTHBASS"
WEST LONG,1992,1992-05-20,141,"LARGEMOUTHBASS"
WEST LONG,1992,1992-06-05,157,"LARGEMOUTHBASS"
