lakeid,lakename,year4,daynum,sampledate,areal_prod_mixed,vol_prod_mixed,areal_prod_pzone,vol_prod_pzone
"L","Paul Lake",1984,155,1984-06-03,218.2319,109.1159,524.4394,95.3526
"L","Paul Lake",1984,156,1984-06-04,225.3678,116.8574,525.9120,96.8785
"L","Paul Lake",1984,157,1984-06-05,229.6442,123.6546,548.4654,102.3802
"L","Paul Lake",1984,158,1984-06-06,236.4841,132.4311,519.5210,98.2878
"L","Paul Lake",1984,159,1984-06-07,238.1949,138.9471,558.9627,107.1983
"L","Paul Lake",1984,160,1984-06-08,240.3823,146.3197,566.9826,110.2466
"L","Paul Lake",1984,162,1984-06-10,239.9877,159.9918,587.2144,117.4429
"L","Paul Lake",1984,163,1984-06-11,246.2193,164.1462,520.6899,104.1380
"L","Paul Lake",1984,164,1984-06-12,330.0871,210.0554,749.0482,147.6996
"L","Paul Lake",1984,165,1984-06-13,422.6656,257.2747,895.1031,174.0478
"L","Paul Lake",1984,166,1984-06-14,524.9682,306.2314,968.1002,185.6630
"L","Paul Lake",1984,167,1984-06-15,615.1710,344.4958,1047.6830,198.2104
"L","Paul Lake",1984,168,1984-06-16,697.1970,375.4138,1112.6260,207.6902
"L","Paul Lake",1984,169,1984-06-17,776.7647,402.7669,1443.0210,265.8196
"L","Paul Lake",1984,170,1984-06-18,882.3664,441.1832,1536.7250,279.4045
"L","Paul Lake",1984,171,1984-06-19,849.5911,440.5287,1394.2610,260.2620
"L","Paul Lake",1984,172,1984-06-20,776.3576,418.0387,1422.8430,272.8741
"L","Paul Lake",1984,173,1984-06-21,752.1726,421.2166,1282.3510,252.8580
"L","Paul Lake",1984,174,1984-06-22,703.4227,410.3299,1170.4740,237.4874
"L","Paul Lake",1984,175,1984-06-23,643.6370,391.7790,1191.3140,248.9313
"L","Paul Lake",1984,176,1984-06-24,589.5316,375.1565,1118.3330,240.8718
"L","Paul Lake",1984,177,1984-06-25,563.1733,375.4489,953.3591,211.8576
"L","Paul Lake",1984,178,1984-06-26,507.4258,346.5346,890.8052,191.8657
"L","Paul Lake",1984,179,1984-06-27,443.5289,310.4702,894.0523,186.8169
"L","Paul Lake",1984,180,1984-06-28,383.1244,275.0637,833.8286,169.1826
"L","Paul Lake",1984,181,1984-06-29,329.2668,242.6177,745.0683,146.9149
"L","Paul Lake",1984,182,1984-06-30,272.6603,206.3376,652.8469,125.2035
"L","Paul Lake",1984,183,1984-07-01,219.0492,170.3716,523.0109,97.6287
"L","Paul Lake",1984,184,1984-07-02,160.6112,128.4890,390.2845,70.9608
"L","Paul Lake",1984,185,1984-07-03,190.2019,143.9366,494.9280,89.9869
"L","Paul Lake",1984,186,1984-07-04,227.3537,163.2283,527.3240,95.8771
"L","Paul Lake",1984,187,1984-07-05,264.3724,180.5470,555.8083,101.0561
"L","Paul Lake",1984,188,1984-07-06,295.6837,192.5382,655.9814,119.2693
"L","Paul Lake",1984,189,1984-07-07,319.6299,198.8808,543.9670,98.9031
"L","Paul Lake",1984,190,1984-07-08,375.6793,223.8089,667.8145,121.4208
"L","Paul Lake",1984,191,1984-07-09,402.4042,229.9452,661.0510,120.1911
"L","Paul Lake",1984,192,1984-07-10,383.0858,223.4667,758.2297,137.8600
"L","Paul Lake",1984,193,1984-07-11,351.9201,209.6545,714.9195,129.9854
"L","Paul Lake",1984,194,1984-07-12,326.9081,198.9875,637.8436,115.9715
"L","Paul Lake",1984,195,1984-07-13,294.1910,183.0522,541.8600,98.5200
"L","Paul Lake",1984,196,1984-07-14,266.7707,169.7632,536.3600,97.5200
"L","Paul Lake",1984,197,1984-07-15,236.7755,154.1794,491.3553,89.3373
"L","Paul Lake",1984,198,1984-07-16,197.1192,131.4128,352.8023,64.1459
"L","Paul Lake",1984,199,1984-07-17,212.0942,141.3961,504.6154,91.7483
"L","Paul Lake",1984,200,1984-07-18,225.5208,150.3472,505.5250,91.9136
"L","Paul Lake",1984,201,1984-07-19,230.9694,153.9796,571.6102,103.9291
"L","Paul Lake",1984,202,1984-07-20,240.4520,160.3013,603.7551,109.7737
"L","Paul Lake",1984,203,1984-07-21,250.2955,166.8637,541.7972,98.5086
"L","Paul Lake",1984,204,1984-07-22,259.0654,172.7103,668.1077,121.4741
"L","Paul Lake",1984,205,1984-07-23,264.8211,176.5474,721.8563,131.2466
"L","Paul Lake",1984,206,1984-07-24,263.8237,171.7921,676.7842,123.0517
"L","Paul Lake",1984,207,1984-07-25,260.2190,165.5939,642.5003,116.8182
"L","Paul Lake",1984,208,1984-07-26,255.1165,158.7391,611.9117,111.2567
"L","Paul Lake",1984,209,1984-07-27,251.6898,153.2025,569.9750,103.6318
"L","Paul Lake",1984,210,1984-07-28,247.9219,147.6982,524.4012,95.3457
"L","Paul Lake",1984,211,1984-07-29,241.1970,140.6983,492.7030,89.5824
"L","Paul Lake",1984,212,1984-07-30,232.5497,132.8856,402.4353,73.1701
"L","Paul Lake",1984,213,1984-07-31,293.0602,170.9518,537.4246,97.7136
"L","Paul Lake",1984,214,1984-08-01,339.9902,202.5473,593.4935,107.9079
"L","Paul Lake",1984,215,1984-08-02,377.2762,229.6464,641.7558,116.6829
"L","Paul Lake",1984,216,1984-08-03,440.3138,273.9731,819.6522,149.0277
"L","Paul Lake",1984,217,1984-08-04,441.4711,280.9361,744.6791,135.3962
"L","Paul Lake",1984,218,1984-08-05,522.4280,340.1857,1041.9000,189.4364
"L","Paul Lake",1984,219,1984-08-06,555.1564,370.1042,1077.6960,195.9447
"L","Paul Lake",1984,220,1984-08-07,527.8657,351.9104,1065.1060,194.9214
"L","Paul Lake",1984,221,1984-08-08,493.6196,329.0798,1025.1880,188.8505
"L","Paul Lake",1984,222,1984-08-09,462.1318,308.0879,857.2526,158.9608
"L","Paul Lake",1984,223,1984-08-10,430.8320,287.2213,793.1025,148.0458
"L","Paul Lake",1984,224,1984-08-11,397.6706,265.1137,793.9512,149.1989
"L","Paul Lake",1984,225,1984-08-12,364.8398,243.2265,706.1259,133.5914
"L","Paul Lake",1984,226,1984-08-13,328.5374,219.0249,575.4296,109.6056
"L","Paul Lake",1984,227,1984-08-14,340.9425,227.2950,631.1669,120.2223
"L","Paul Lake",1984,228,1984-08-15,346.1148,230.7432,683.4895,130.1885
"L","Paul Lake",1984,229,1984-08-16,358.3971,238.9314,629.3851,119.8829
"L","Paul Lake",1984,230,1984-08-17,368.6172,245.7448,717.4711,136.6612
"L","Paul Lake",1984,231,1984-08-18,373.5111,249.0074,754.7571,143.7632
"L","Paul Lake",1984,232,1984-08-19,388.5067,259.0045,760.5506,144.8668
"L","Paul Lake",1985,140,1985-05-20,292.5842,234.0673,841.1616,168.2323
"L","Paul Lake",1985,141,1985-05-21,287.9267,237.1161,814.0361,165.1668
"L","Paul Lake",1985,142,1985-05-22,259.6089,220.2742,581.2914,119.6776
"L","Paul Lake",1985,143,1985-05-23,222.9230,195.0576,452.7412,94.6026
"L","Paul Lake",1985,144,1985-05-24,262.1667,236.7957,814.4956,172.7718
"L","Paul Lake",1985,145,1985-05-25,250.1670,233.4892,816.8465,175.9362
"L","Paul Lake",1985,146,1985-05-26,246.2320,237.7413,665.5880,145.5974
"L","Paul Lake",1985,147,1985-05-27,236.9230,236.9230,671.1230,149.1385
"L","Paul Lake",1985,148,1985-05-28,248.7960,232.2096,589.0285,128.8500
"L","Paul Lake",1985,149,1985-05-29,268.9629,235.3425,674.2316,145.2191
"L","Paul Lake",1985,150,1985-05-30,281.4014,231.7423,695.2410,147.4754
"L","Paul Lake",1985,151,1985-05-31,289.8719,225.4559,706.7242,147.6737
"L","Paul Lake",1985,152,1985-06-01,311.8608,229.7922,639.8687,131.7377
"L","Paul Lake",1985,153,1985-06-02,309.0717,216.3502,679.7608,137.9225
"L","Paul Lake",1985,154,1985-06-03,327.5757,218.3838,644.0211,128.8042
"L","Paul Lake",1985,155,1985-06-04,340.1407,226.7605,674.9892,134.9978
"L","Paul Lake",1985,156,1985-06-05,348.1308,232.0872,705.4088,141.0818
"L","Paul Lake",1985,157,1985-06-06,344.6616,229.7744,787.0414,157.4083
"L","Paul Lake",1985,158,1985-06-07,354.4689,236.3126,809.4456,161.8891
"L","Paul Lake",1985,159,1985-06-08,366.2355,244.1570,774.1645,154.8329
"L","Paul Lake",1985,160,1985-06-09,360.7386,240.4924,872.8358,174.5672
"L","Paul Lake",1985,161,1985-06-10,368.7291,245.8194,883.4423,176.6884
"L","Paul Lake",1985,162,1985-06-11,372.6783,248.4522,823.7717,164.7543
"L","Paul Lake",1985,163,1985-06-12,341.2343,227.4896,613.8311,122.7662
"L","Paul Lake",1985,164,1985-06-13,365.2646,243.5097,820.4779,164.0956
"L","Paul Lake",1985,165,1985-06-14,361.8251,241.2167,812.9470,162.5894
"L","Paul Lake",1985,166,1985-06-15,359.8545,239.9030,763.8857,152.7771
"L","Paul Lake",1985,167,1985-06-16,349.6300,233.0867,829.6176,165.9235
"L","Paul Lake",1985,168,1985-06-17,348.0161,232.0107,807.0520,161.4104
"L","Paul Lake",1985,169,1985-06-18,343.2642,228.8428,661.9561,132.3912
"L","Paul Lake",1985,170,1985-06-19,345.4386,230.2924,724.1171,144.8234
"L","Paul Lake",1985,171,1985-06-20,331.2484,220.8323,780.5633,156.1127
"L","Paul Lake",1985,172,1985-06-21,326.5586,217.7057,764.3047,152.8609
"L","Paul Lake",1985,173,1985-06-22,333.5056,222.3371,657.3651,131.4730
"L","Paul Lake",1985,174,1985-06-23,328.2060,218.8040,621.8362,124.3672
"L","Paul Lake",1985,175,1985-06-24,323.4223,215.6149,666.4781,133.2956
"L","Paul Lake",1985,176,1985-06-25,299.4195,199.6130,633.9647,127.8891
"L","Paul Lake",1985,177,1985-06-26,278.3979,185.5986,582.4571,118.5232
"L","Paul Lake",1985,178,1985-06-27,252.5863,168.3909,546.8186,112.2502
"L","Paul Lake",1985,179,1985-06-28,233.4991,155.6661,480.2382,99.4576
"L","Paul Lake",1985,180,1985-06-29,207.6316,138.4211,439.5039,91.8366
"L","Paul Lake",1985,181,1985-06-30,182.0332,121.3554,391.1383,82.4689
"L","Paul Lake",1985,182,1985-07-01,161.1791,107.4527,290.6389,61.8381
"L","Paul Lake",1985,183,1985-07-02,156.9341,104.6227,253.4778,53.4441
"L","Paul Lake",1985,184,1985-07-03,179.6252,119.7502,395.1462,82.5679
"L","Paul Lake",1985,185,1985-07-04,191.6762,127.7841,415.2991,86.0087
"L","Paul Lake",1985,186,1985-07-05,200.6548,133.7698,453.7777,93.1509
"L","Paul Lake",1985,187,1985-07-06,212.1763,141.4509,474.2244,96.4992
"L","Paul Lake",1985,188,1985-07-07,223.7832,149.1888,477.7194,96.3699
"L","Paul Lake",1985,189,1985-07-08,228.1883,152.1255,555.4986,111.0997
"L","Paul Lake",1985,190,1985-07-09,229.4274,149.3946,543.3359,110.2421
"L","Paul Lake",1985,191,1985-07-10,237.6277,151.2176,498.2816,102.5874
"L","Paul Lake",1985,192,1985-07-11,240.5333,149.6652,477.0020,99.6721
"L","Paul Lake",1985,193,1985-07-12,243.2832,148.0854,456.5081,96.8351
"L","Paul Lake",1985,194,1985-07-13,240.1841,143.0884,459.2654,98.9187
"L","Paul Lake",1985,195,1985-07-14,248.5461,144.9852,412.4550,90.2245
"L","Paul Lake",1985,196,1985-07-15,214.4518,122.5439,287.5784,63.9063
"L","Paul Lake",1985,197,1985-07-16,239.9006,139.9420,407.3565,88.4185
"L","Paul Lake",1985,198,1985-07-17,228.6590,136.2224,407.8559,86.5149
"L","Paul Lake",1985,199,1985-07-18,222.4899,135.4286,396.1588,82.1663
"L","Paul Lake",1985,200,1985-07-19,212.5957,132.2818,392.1725,79.5712
"L","Paul Lake",1985,201,1985-07-20,206.5375,131.4330,379.1520,75.2926
"L","Paul Lake",1985,202,1985-07-21,195.4116,127.2448,299.9248,58.3187
"L","Paul Lake",1985,203,1985-07-22,192.5481,128.3654,354.6219,67.5470
"L","Paul Lake",1985,204,1985-07-23,204.7906,133.3520,382.8140,72.4243
"L","Paul Lake",1985,205,1985-07-24,221.0805,140.6876,396.1438,74.4431
"L","Paul Lake",1985,206,1985-07-25,235.1834,146.3363,416.5154,77.7495
"L","Paul Lake",1985,207,1985-07-26,246.4538,150.0154,450.7244,83.5780
"L","Paul Lake",1985,208,1985-07-27,262.5203,156.3951,431.8650,79.5541
"L","Paul Lake",1985,209,1985-07-28,275.1787,160.5209,492.9900,90.2204
"L","Paul Lake",1985,210,1985-07-29,289.0410,165.1663,515.5850,93.7427
"L","Paul Lake",1985,211,1985-07-30,291.6019,163.2971,519.1736,93.7862
"L","Paul Lake",1985,212,1985-07-31,288.4206,158.3486,540.7900,97.0649
"L","Paul Lake",1985,213,1985-08-01,292.4888,157.4940,535.0397,95.4211
"L","Paul Lake",1985,214,1985-08-02,292.5073,154.5322,496.2422,87.9417
"L","Paul Lake",1985,215,1985-08-03,292.4381,151.6346,547.1043,96.3454
"L","Paul Lake",1985,216,1985-08-04,288.1688,146.7041,565.7137,98.9999
"L","Paul Lake",1985,217,1985-08-05,294.0991,147.0495,524.8657,91.2810
"L","Paul Lake",1985,218,1985-08-06,221.7198,114.9658,315.8378,54.9966
"L","Paul Lake",1985,219,1985-08-07,286.7003,154.3771,541.2994,94.3735
"L","Paul Lake",1985,220,1985-08-08,281.9770,157.9071,548.9623,95.8288
"L","Paul Lake",1985,221,1985-08-09,230.9870,134.7424,357.9639,62.5655
"L","Paul Lake",1985,222,1985-08-10,267.2873,162.6966,575.2078,100.6614
"L","Paul Lake",1985,223,1985-08-11,261.8052,166.6033,573.0537,100.4099
"L","Paul Lake",1985,224,1985-08-12,258.6628,172.4419,554.3096,97.2473
"L","Paul Lake",1985,225,1985-08-13,328.8128,219.2085,685.2426,120.2180
"L","Paul Lake",1985,226,1985-08-14,361.1610,240.7740,617.3629,108.3093
"L","Paul Lake",1985,227,1985-08-15,433.6563,289.1042,758.1554,133.0097
