lakeid,lakename,year4,daynum,sampledate,depth,depth_id,dic,primary_prod_rep1,primary_prod_rep2,chla,phaeo,chla_lt_35um,phaeo_lt_35um,alk_phosphatase
"C","Central Long Lake",1992,143,1992-05-22,0.00,1,,,,4.0530,5.7660,3.2790,4.8800,
"C","Central Long Lake",1992,143,1992-05-22,0.38,2,,,,4.5570,5.9970,3.6320,5.6240,
"C","Central Long Lake",1992,143,1992-05-22,0.85,3,,,,4.4470,5.7060,3.7180,5.3950,
"C","Central Long Lake",1992,143,1992-05-22,1.70,4,,,,6.9870,9.7960,5.0380,8.2100,
"C","Central Long Lake",1992,143,1992-05-22,2.25,5,,,,6.3090,8.8880,5.1060,7.4740,
"C","Central Long Lake",1992,143,1992-05-22,3.40,6,,,,28.1990,24.0000,12.1980,16.7580,
"C","Central Long Lake",1992,150,1992-05-29,0.00,1,,,,2.1130,4.8340,1.8450,3.9760,
"C","Central Long Lake",1992,150,1992-05-29,0.50,2,,,,2.0890,4.6580,1.8280,3.8020,
"C","Central Long Lake",1992,150,1992-05-29,1.10,3,,,,2.0070,4.1380,1.8390,3.1710,
"C","Central Long Lake",1992,150,1992-05-29,1.90,4,,,,2.2150,5.0490,1.8410,3.3920,
"C","Central Long Lake",1992,150,1992-05-29,2.45,5,,,,2.4250,5.8410,1.8290,3.2370,
"C","Central Long Lake",1992,150,1992-05-29,3.45,6,,,,12.1250,16.4310,6.1470,12.2230,
"C","Central Long Lake",1992,157,1992-06-05,0.00,1,,,,2.8520,3.9590,2.2790,5.0380,
"C","Central Long Lake",1992,157,1992-06-05,0.55,2,,,,2.3590,3.7190,2.2900,5.1070,
"C","Central Long Lake",1992,157,1992-06-05,1.10,3,,,,2.4810,4.2730,2.1630,4.9520,
"C","Central Long Lake",1992,157,1992-06-05,1.85,4,,,,2.4420,9.9600,1.2700,5.2020,
"C","Central Long Lake",1992,157,1992-06-05,2.50,5,,,,2.5260,4.7910,2.1700,4.7720,
"C","Central Long Lake",1992,157,1992-06-05,3.50,6,,,,4.5000,7.6010,2.8360,5.4190,
"C","Central Long Lake",1992,164,1992-06-12,0.00,1,,,,2.6110,4.8740,2.1660,4.5480,
"C","Central Long Lake",1992,164,1992-06-12,0.40,2,,,,2.5680,5.3120,2.0990,5.5000,
"C","Central Long Lake",1992,164,1992-06-12,0.90,3,,,,2.6070,4.8780,2.1270,4.8680,
"C","Central Long Lake",1992,164,1992-06-12,1.50,4,,,,3.0820,5.5720,2.3890,5.5370,
"C","Central Long Lake",1992,164,1992-06-12,2.00,5,,,,3.6880,7.7800,2.8590,7.3660,
"C","Central Long Lake",1992,164,1992-06-12,2.75,6,,,,3.1710,8.7900,2.5600,6.6330,
"C","Central Long Lake",1992,171,1992-06-19,0.00,1,,,,6.9800,14.3260,3.0410,8.4230,
"C","Central Long Lake",1992,171,1992-06-19,0.50,2,,,,6.6730,13.5260,4.7390,12.0610,
"C","Central Long Lake",1992,171,1992-06-19,0.80,3,,,,8.0350,16.3160,5.4650,12.7180,
"C","Central Long Lake",1992,171,1992-06-19,1.30,4,,,,7.8860,16.3260,6.0080,13.8220,
"C","Central Long Lake",1992,171,1992-06-19,2.00,5,,,,7.8140,17.0890,5.0340,12.7220,
"C","Central Long Lake",1992,171,1992-06-19,3.25,6,,,,8.4370,22.0000,6.3600,17.6210,
"C","Central Long Lake",1992,178,1992-06-26,0.00,1,,,,8.8400,11.6360,7.0130,8.0080,
"C","Central Long Lake",1992,178,1992-06-26,0.42,2,,,,8.9550,10.4140,6.9310,8.2880,
"C","Central Long Lake",1992,178,1992-06-26,0.87,3,,,,8.3220,9.3870,6.2870,7.7460,
"C","Central Long Lake",1992,178,1992-06-26,1.45,4,,,,8.2700,9.0250,7.0150,8.4340,
"C","Central Long Lake",1992,178,1992-06-26,2.00,5,,,,8.8210,10.2030,6.8070,7.7200,
"C","Central Long Lake",1992,178,1992-06-26,3.25,6,,,,28.8280,30.2030,23.7060,25.7550,
"C","Central Long Lake",1992,185,1992-07-03,0.00,1,,,,9.7030,9.6670,7.6020,7.0240,
"C","Central Long Lake",1992,185,1992-07-03,0.40,2,,,,10.2780,9.6450,8.3960,7.8110,
"C","Central Long Lake",1992,185,1992-07-03,0.80,3,,,,10.3360,10.1410,7.7800,6.8460,
"C","Central Long Lake",1992,185,1992-07-03,1.50,4,,,,10.4030,10.0040,8.1180,7.1010,
"C","Central Long Lake",1992,185,1992-07-03,2.00,5,,,,10.3550,10.3980,7.8140,7.6350,
"C","Central Long Lake",1992,185,1992-07-03,3.20,6,,,,9.9710,9.8590,8.0300,6.1510,
"C","Central Long Lake",1992,192,1992-07-10,0.00,1,,,,11.6010,7.4910,9.6700,5.5490,
"C","Central Long Lake",1992,192,1992-07-10,0.35,2,,,,13.1740,8.1330,11.3960,5.9970,
"C","Central Long Lake",1992,192,1992-07-10,0.70,3,,,,13.1350,8.7240,10.9990,5.6040,
"C","Central Long Lake",1992,192,1992-07-10,1.40,4,,,,15.4840,10.1110,11.4670,5.4120,
"C","Central Long Lake",1992,192,1992-07-10,1.90,5,,,,22.6510,11.9320,19.2240,7.4090,
"C","Central Long Lake",1992,192,1992-07-10,2.90,6,,,,20.3900,11.8920,16.8030,7.7550,
"C","Central Long Lake",1992,199,1992-07-17,0.00,1,,,,4.2970,5.2710,2.5460,3.1220,
"C","Central Long Lake",1992,199,1992-07-17,0.40,2,,,,7.4980,6.8910,4.8760,4.4130,
"C","Central Long Lake",1992,199,1992-07-17,0.75,3,,,,6.6160,6.6660,4.1500,4.3490,
"C","Central Long Lake",1992,199,1992-07-17,1.40,4,,,,6.6160,6.5280,4.1610,4.1400,
"C","Central Long Lake",1992,199,1992-07-17,1.80,5,,,,9.5880,8.0520,5.7290,4.3020,
"C","Central Long Lake",1992,199,1992-07-17,2.80,6,,,,10.1630,8.7450,6.7120,5.0480,
"C","Central Long Lake",1992,206,1992-07-24,0.00,1,,,,2.1110,3.2360,1.6460,2.3740,
"C","Central Long Lake",1992,206,1992-07-24,0.40,2,,,,2.4930,3.0230,1.6630,1.9150,
"C","Central Long Lake",1992,206,1992-07-24,0.70,3,,,,2.5880,2.7030,2.0200,3.0460,
"C","Central Long Lake",1992,206,1992-07-24,1.30,4,,,,3.0080,3.6760,2.4460,3.0700,
"C","Central Long Lake",1992,206,1992-07-24,1.80,5,,,,2.9200,4.3270,2.0280,3.3890,
"C","Central Long Lake",1992,206,1992-07-24,2.80,6,,,,8.6650,9.5330,5.4210,5.7660,
"C","Central Long Lake",1992,213,1992-07-31,0.00,1,,,,3.2730,3.9880,2.7430,4.0510,
"C","Central Long Lake",1992,213,1992-07-31,0.34,2,,,,3.6080,4.7220,3.0130,3.7810,
"C","Central Long Lake",1992,213,1992-07-31,0.70,3,,,,3.6120,5.1120,2.9910,4.6480,
"C","Central Long Lake",1992,213,1992-07-31,1.30,4,,,,3.6380,5.3670,2.8440,4.0790,
"C","Central Long Lake",1992,213,1992-07-31,1.75,5,,,,3.0030,4.6650,2.5750,4.0380,
"C","Central Long Lake",1992,213,1992-07-31,2.80,6,,,,4.0630,6.5370,3.3720,5.4220,
"C","Central Long Lake",1992,220,1992-08-07,0.00,1,,,,2.3160,5.6200,1.7020,4.5290,
"C","Central Long Lake",1992,220,1992-08-07,0.40,2,,,,2.3950,5.8790,1.6910,4.3400,
"C","Central Long Lake",1992,220,1992-08-07,0.80,3,,,,2.3670,5.8500,1.6060,4.3030,
"C","Central Long Lake",1992,220,1992-08-07,1.50,4,,,,2.7850,5.4330,1.9060,3.4410,
"C","Central Long Lake",1992,220,1992-08-07,2.00,5,,,,2.8360,6.1130,2.1220,5.3360,
"C","Central Long Lake",1992,220,1992-08-07,3.10,6,,,,51.5510,32.3830,35.0200,18.9380,
"C","Central Long Lake",1992,227,1992-08-14,0.00,1,,,,5.2350,9.1540,4.3150,7.7420,
"C","Central Long Lake",1992,227,1992-08-14,0.40,2,,,,5.3120,9.3540,4.2600,8.3900,
"C","Central Long Lake",1992,227,1992-08-14,0.90,3,,,,5.1970,8.9150,4.3280,7.5310,
"C","Central Long Lake",1992,227,1992-08-14,1.50,4,,,,5.2730,9.3920,4.5250,7.9260,
"C","Central Long Lake",1992,227,1992-08-14,2.00,5,,,,5.9440,9.2740,4.6500,7.4560,
"C","Central Long Lake",1992,227,1992-08-14,3.20,6,,,,37.4890,26.1540,34.9960,23.1130,
"C","Central Long Lake",1992,235,1992-08-22,0.00,1,,,,8.0300,12.3770,6.2700,8.6720,
"C","Central Long Lake",1992,235,1992-08-22,0.50,2,,,,8.0300,12.7230,6.1550,8.7870,
"C","Central Long Lake",1992,235,1992-08-22,1.00,3,,,,7.7660,11.2570,6.0980,8.8440,
"C","Central Long Lake",1992,235,1992-08-22,1.70,4,,,,7.6220,11.4010,5.8290,8.5590,
"C","Central Long Lake",1992,235,1992-08-22,2.30,5,,,,9.4440,12.3470,7.3630,9.7920,
"C","Central Long Lake",1992,235,1992-08-22,3.30,6,,,,23.3310,25.0930,20.6780,21.2890,
