lakeid,lakename,year4,daynum,sampledate,old_taxon_code,standard_taxon_code,group_code,taxon_name,net_efficiency,number_per_net,vol_haul,density,mean_length,mean_individ_biomass,total_biomass
"E","East Long Lake",1992,146,1992-05-25,"CDAP","CDAP","CLAD","Ceriodaphnia",0.363,39.5,848,0.128,0.462,0.857,0.110
"E","East Long Lake",1992,146,1992-05-25,"HGIB","HGIB","CLAD","Holopedium gibberum",0.173,6.0,848,0.041,0.375,1.258,0.051
"E","East Long Lake",1992,146,1992-05-25,"BOS","BOS","CLAD","Bosmina longirostris",0.143,851.5,848,7.022,0.304,0.743,5.217
"E","East Long Lake",1992,146,1992-05-25,"CYCVR","DT-CYV","OCOP","Cyclops varicans rubellus",0.092,99.0,848,1.269,0.732,3.525,4.474
"E","East Long Lake",1992,146,1992-05-25,"COPD","COPD","OCOP","Copepodite",0.168,59.5,848,0.418,0.362,0.584,0.244
"E","East Long Lake",1992,146,1992-05-25,"NAUP","NAUP","OCOP","Nauplii",0.112,317.0,848,3.338,0.156,0.841,2.808
"E","East Long Lake",1992,146,1992-05-25,"KCOCH","KCOCH","ROT","Keratella cochlearis",0.102,455.5,848,5.266,0.120,0.003,0.018
"E","East Long Lake",1992,146,1992-05-25,"KTEST","KTEST","ROT","Keratella testudo",0.102,178.0,848,2.058,0.130,0.004,0.009
"E","East Long Lake",1992,146,1992-05-25,"KTAU","KTAU","ROT","Keratella taurocephala",0.102,59.5,848,0.688,0.121,0.004,0.002
"E","East Long Lake",1992,146,1992-05-25,"PVULG","PVULG","ROT","Polyarthra vulgaris",0.073,515.0,848,8.319,0.140,0.077,0.639
"E","East Long Lake",1992,146,1992-05-25,"KLONG","KLONG","ROT","Kellicotia longispina",0.102,376.0,848,4.347,0.130,0.007,0.029
"E","East Long Lake",1992,146,1992-05-25,"KBOST","KBOST","ROT","Kellicotia bostoniensis",0.102,3821.5,848,44.181,0.110,0.004,0.176
"E","East Long Lake",1992,146,1992-05-25,"GHYPT","MSBR","ROT","Gastropus hyptopus",0.549,297.0,848,0.638,0.110,0.027,0.017
"E","East Long Lake",1992,146,1992-05-25,"GSTYL","GSTYL","ROT","Gastropus stylifer",0.549,59.5,848,0.128,0.100,0.020,0.003
"E","East Long Lake",1992,146,1992-05-25,"TMULT","TMULT","ROT","Trichocerca multicrinis",0.102,20.0,848,0.231,0.161,1.353,0.313
"E","East Long Lake",1992,146,1992-05-25,"SYNCH","SYNCH","ROT","Synchaeta sp.",0.549,20.0,848,0.043,0.161,0.050,0.002
"E","East Long Lake",1992,146,1992-05-25,"ASPLG","ASPLG","PROT","Asplanchna sp.",0.157,16335.0,848,122.694,0.482,2.576,316.004
