lakeid,year4,daynum,sampledate,depth,rep,sta,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,po4,sio2uf,drsif,brsif,brsiuf,tpm,flagdic,flagtic,flagdoc,flagtoc,flagno3no2,flagno2,flagnh4,flagtotnf,flagtotnuf,flagtotpf,flagtotpuf,flagpo4,flagsio2uf,flagdrsif,flagbrsif,flagbrsiuf,flagtpm
"LR",2000,31,2000-01-31,0.000,1,1,1.67,1.75,4.96,5.06,57.0,,81,469,522,9.0,28.0,,,9,12,49,,,,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,0.000,1,2,1.45,1.50,5.48,5.79,11.0,,54,385,475,6.0,13.0,,,1,21,12,,,,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,4.000,1,1,2.70,2.66,4.28,4.41,64.0,,107,422,485,11.0,16.0,,,50,58,131,,,,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,4.000,1,2,3.08,3.22,4.73,4.92,21.0,,131,448,496,9.0,14.0,,,64,67,85,,,,,,,,,,"E",,"E",,,,,"E",
"LR",2000,31,2000-01-31,6.000,1,2,3.13,3.20,4.70,4.85,21.0,,149,490,496,9.0,14.0,,,70,58,85,,,,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,6.000,2,2,3.11,3.11,4.72,4.81,20.0,,140,480,496,8.0,14.0,,,72,67,95,,,,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,9.000,1,1,7.09,8.56,6.53,6.42,6.0,,598,926,1768,97.0,360.0,,,417,370,692,,,,,,,,,,,,,,,,,,
"LR",2000,62,2000-03-02,0.000,1,1,1.25,1.42,4.16,3.91,102.0,,168,588,528,6.0,9.0,,,19,379,407,,,,,,,,,,,,,,,,,,
"LR",2000,62,2000-03-02,0.000,1,2,1.48,1.54,4.19,3.93,107.0,,170,528,568,4.0,8.0,,,23,379,388,,,,,,,,,,,,,,,,,,
"LR",2000,62,2000-03-02,0.000,2,1,1.32,1.53,4.15,4.11,136.0,,144,588,613,8.0,11.0,,,20,379,407,,,,,,,,,,,,,,,,,,
"LR",2000,62,2000-03-02,4.000,1,1,1.69,1.81,3.64,3.53,58.0,,132,382,460,5.0,14.0,,,65,425,467,,,,,,,,,,"E",,"R",,,,,"E",
"LR",2000,62,2000-03-02,4.000,1,2,2.17,2.44,3.98,3.82,24.0,,212,528,498,6.0,11.0,,,106,453,462,,,,,,,,,,,,,,,,,,
"LR",2000,62,2000-03-02,6.000,1,2,2.40,2.65,3.90,3.85,18.0,,247,493,508,5.0,10.0,,,113,462,471,,,,,,,,,,,,,,,,,,
"LR",2000,62,2000-03-02,9.000,1,1,4.25,5.32,4.96,4.71,4.0,,706,1050,1718,137.0,242.0,,,450,739,905,,,,,,,,,,,,,,,,,,
"LR",2000,91,2000-03-31,0.000,1,1,0.99,1.35,3.19,3.01,66.0,,449,306,479,4.0,14.0,,,38,48,100,0.77,,,,,,,,,,,,,,,,,
"LR",2000,91,2000-03-31,0.000,1,2,1.20,1.25,3.19,3.16,51.0,,77,306,396,6.0,9.0,,,24,48,58,1.55,,,,,"L",,"L",,,,,,,,"L",,"L"
"LR",2000,91,2000-03-31,0.000,2,2,1.29,1.19,3.12,3.20,32.0,,186,340,381,4.0,9.0,,,23,28,58,0.52,,,,,"L",,"NL",,,,,,,,"L",,"L"
"LR",2000,91,2000-03-31,4.000,1,1,1.04,1.47,3.21,2.99,6.0,,129,347,445,5.0,14.0,,,39,38,110,1.07,,,,,,,,,,,,,,,,,
"LR",2000,91,2000-03-31,4.000,1,2,0.88,1.33,3.47,3.29,47.0,,46,306,379,4.0,10.0,,,22,28,69,0.65,,,,,,,,,"E",,"E",,,,,,
"LR",2000,91,2000-03-31,6.000,1,2,0.90,1.35,3.47,3.19,41.0,,38,347,407,4.0,10.0,,,29,38,58,0.50,,,,,,,,,,,,,,"E",,"E",
"LR",2000,91,2000-03-31,9.000,1,1,1.09,1.64,3.19,2.98,52.0,,93,358,445,5.0,14.0,,,61,100,141,0.79,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,2.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,2.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,117,2000-04-26,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,0.000,1,1,0.64,1.02,3.77,3.69,2.0,,32,315,271,9.0,11.0,,,12,13,3,0.44,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,0.000,1,2,0.71,0.95,3.93,3.82,0.0,,26,252,339,4.0,12.0,,,16,3,3,0.63,,,,,,,,"E",,"E",,,,,,,
"LR",2000,130,2000-05-09,4.000,1,1,0.64,0.98,3.51,3.47,0.0,,51,261,344,8.0,25.0,,,15,3,49,0.97,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,4.000,1,2,0.68,1.11,3.79,3.73,0.0,,38,218,286,5.0,16.0,,,22,3,22,1.30,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,6.000,1,1,0.91,1.40,3.53,3.47,0.0,,21,227,441,9.0,36.0,,,8,0,67,1.43,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,6.000,1,2,1.71,2.47,3.72,3.73,0.0,,74,324,518,12.0,41.0,,,124,103,130,3.59,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,9.000,1,1,2.19,2.52,3.74,3.64,3.0,,60,383,533,15.0,48.0,,,186,166,230,1.31,,,,,,,,,,,,,,,,,
"LR",2000,130,2000-05-09,9.000,2,1,1.63,2.26,3.71,3.46,6.0,,75,353,596,14.0,56.0,,,142,139,248,1.30,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,2.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,146,2000-05-25,9.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,157,2000-06-05,0.000,1,1,0.62,0.76,3.88,3.71,0.0,,19,336,236,5.0,8.0,,,38,21,48,0.25,,,,,,,,,,,"E",,,,,,
"LR",2000,157,2000-06-05,0.000,1,2,0.69,0.90,4.14,4.12,1.0,,69,398,259,5.0,8.0,,,60,57,66,0.48,,,,,,,,,,,,,,,"E",,
"LR",2000,157,2000-06-05,4.000,1,1,0.95,1.16,3.62,3.63,1.0,,29,182,243,5.0,10.0,,,36,39,39,0.37,,,,,,,,,,,,,,,,,
"LR",2000,157,2000-06-05,4.000,1,2,0.92,1.55,4.11,4.24,0.0,,26,213,274,3.0,13.0,,,49,39,48,0.19,,,,,,,,,,,,,,,,,
"LR",2000,157,2000-06-05,6.000,1,1,2.17,2.07,3.65,3.64,9.0,,63,269,259,9.0,15.0,,,43,57,84,0.51,,,,,,,"L",,"L",,,,,,"L","L","L"
"LR",2000,157,2000-06-05,6.000,1,2,4.26,5.05,5.75,4.96,0.0,,167,454,949,23.0,86.0,,,225,220,238,11.60,,,,,,,,,"E",,"E",,,,,,
"LR",2000,157,2000-06-05,6.000,2,1,2.01,2.00,3.57,3.53,18.0,,109,218,310,7.0,18.0,,,44,39,66,0.34,,,,,,,"L",,"L",,,,,,"L","L","L"
"LR",2000,157,2000-06-05,9.000,1,1,3.73,4.09,4.28,3.67,4.0,,216,403,588,30.0,61.0,,,172,202,256,2.32,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,0.000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,171,2000-06-19,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,187,2000-07-05,0.000,1,1,0.56,0.88,4.25,4.22,0.0,,33,374,439,8.0,11.0,,,33,0,37,0.71,,,,,,,,,,,,,,,,,
"LR",2000,187,2000-07-05,0.000,1,2,0.58,0.97,4.52,4.83,0.0,,25,344,522,4.0,16.0,,,54,37,37,1.14,,,,,,,,,"E",,"E",,,,,"E",
"LR",2000,187,2000-07-05,2.000,1,1,0.65,0.83,4.01,4.00,3.0,,23,304,379,3.0,10.0,,,72,0,20,0.37,,,,,,,,,,,,,,,,,
"LR",2000,187,2000-07-05,4.000,1,2,1.26,1.58,3.77,4.15,5.0,,208,334,554,3.0,34.0,,,98,45,70,1.82,,,,,,,,,,,,,,,,,
"LR",2000,187,2000-07-05,6.000,1,1,2.75,2.75,3.67,3.62,1.0,,31,329,339,8.0,13.0,,,65,11,20,0.71,,,,,"E",,"E",,"E",,"E",,,,,"E",
"LR",2000,187,2000-07-05,6.000,1,2,8.76,9.86,6.58,6.15,2.0,,70,709,1074,16.0,69.0,,,225,206,197,7.09,,,,,,,"L","L",,,,,,,,,"L"
"LR",2000,187,2000-07-05,6.000,2,2,8.36,9.56,7.52,6.06,2.0,,42,584,1123,14.0,76.0,,,225,206,231,1.69,,,,,,,"L","L",,,,,,,,,"L"
"LR",2000,187,2000-07-05,9.000,1,1,6.41,6.29,4.32,4.11,1.0,,293,1009,1108,54.0,85.0,,,179,172,189,4.62,,,,,,,,,,,,,,,,,
"LR",2000,199,2000-07-17,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,199,2000-07-17,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,199,2000-07-17,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,199,2000-07-17,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",2000,199,2000-07-17,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
