lakeid,year4,daynum,sampledate,sta,depth,rep,etrode,ph,phair,alk,flagph,flagphair,flagalk
"LR",2000,31,2000-01-31,1,0.000,1,"N",5.780,6.670,35,,,
"LR",2000,31,2000-01-31,2,0.000,1,"N",6.040,6.720,35,,,
"LR",2000,31,2000-01-31,1,4.000,1,"N",5.580,6.640,35,,,
"LR",2000,31,2000-01-31,2,4.000,1,"N",5.640,6.880,37,,,
"LR",2000,31,2000-01-31,2,6.000,1,"N",5.650,6.860,39,,,
"LR",2000,31,2000-01-31,2,6.000,2,"N",5.660,6.800,40,,,
"LR",2000,31,2000-01-31,1,9.000,1,"N",6.090,7.100,166,,,
"LR",2000,62,2000-03-02,1,0.000,1,"N",5.780,6.670,29,,,
"LR",2000,62,2000-03-02,2,0.000,1,"N",5.770,6.640,36,,,
"LR",2000,62,2000-03-02,1,0.000,2,"N",5.770,6.630,27,,,
"LR",2000,62,2000-03-02,1,4.000,1,"N",5.580,6.750,27,,,
"LR",2000,62,2000-03-02,2,4.000,1,"N",5.640,6.860,45,,,
"LR",2000,62,2000-03-02,2,6.000,1,"N",5.640,6.840,45,,,
"LR",2000,62,2000-03-02,1,9.000,1,"N",6.120,6.970,159,,,
"LR",2000,91,2000-03-31,1,0.000,1,"N",5.710,6.540,27,,,
"LR",2000,91,2000-03-31,2,0.000,1,"N",5.980,6.610,26,,,"L"
"LR",2000,91,2000-03-31,2,0.000,2,"N",5.980,6.590,36,,,
"LR",2000,91,2000-03-31,1,4.000,1,"N",5.680,6.680,25,,,
"LR",2000,91,2000-03-31,2,4.000,1,"N",5.950,6.610,29,,,
"LR",2000,91,2000-03-31,2,6.000,1,"N",5.860,6.580,28,,,
"LR",2000,91,2000-03-31,1,9.000,1,"N",5.640,6.600,28,,,
"LR",2000,117,2000-04-26,1,0.000,1,"N",6.350,6.600,,,,
"LR",2000,117,2000-04-26,2,0.000,1,"N",6.400,6.670,,,,
"LR",2000,117,2000-04-26,1,2.000,1,"N",6.610,6.650,,,,
"LR",2000,117,2000-04-26,2,2.000,1,"N",6.480,6.500,,,,
"LR",2000,117,2000-04-26,1,4.000,1,"N",6.420,6.650,,,,
"LR",2000,117,2000-04-26,2,6.000,1,"N",5.890,6.550,,,,
"LR",2000,117,2000-04-26,1,9.000,1,"N",5.800,6.050,,,,
"LR",2000,130,2000-05-09,1,0.000,1,"N",6.300,6.620,26,,,
"LR",2000,130,2000-05-09,2,0.000,1,"N",6.320,6.520,12,,,
"LR",2000,130,2000-05-09,1,4.000,1,"N",6.490,6.410,15,,,
"LR",2000,130,2000-05-09,2,4.000,1,"N",6.440,6.530,13,,,
"LR",2000,130,2000-05-09,1,6.000,1,"N",5.910,6.530,35,,,
"LR",2000,130,2000-05-09,2,6.000,1,"N",5.510,6.480,20,,,
"LR",2000,130,2000-05-09,1,9.000,1,"N",5.520,6.710,21,,,"L"
"LR",2000,130,2000-05-09,1,9.000,2,"N",5.530,6.700,27,,,
"LR",2000,146,2000-05-25,1,0.000,1,"N",6.230,6.450,,,,
"LR",2000,146,2000-05-25,2,0.000,1,"N",6.180,5.940,,,,
"LR",2000,146,2000-05-25,1,2.000,1,"N",6.220,6.430,,,,
"LR",2000,146,2000-05-25,2,4.000,1,"N",5.990,6.550,,,,
"LR",2000,146,2000-05-25,1,6.000,1,"N",5.590,6.600,,,,
"LR",2000,146,2000-05-25,2,6.000,1,"N",5.460,6.650,,,,
"LR",2000,146,2000-05-25,1,9.000,1,"N",5.490,6.350,,,"L",
"LR",2000,146,2000-05-25,1,9.000,2,"N",5.500,6.750,,,,
"LR",2000,157,2000-06-05,1,0.000,1,"N",6.120,6.340,6,,,
"LR",2000,157,2000-06-05,2,0.000,1,"N",6.090,6.530,12,,,
"LR",2000,157,2000-06-05,1,4.000,1,"N",5.780,6.300,18,,,
"LR",2000,157,2000-06-05,2,4.000,1,"N",5.960,6.450,17,,,
"LR",2000,157,2000-06-05,1,6.000,1,"N",5.530,6.450,22,,"L",
"LR",2000,157,2000-06-05,2,6.000,1,"N",5.540,7.030,69,,,
"LR",2000,157,2000-06-05,1,6.000,2,"N",5.540,6.610,21,,,
"LR",2000,157,2000-06-05,1,9.000,1,"N",5.560,6.980,42,,,
"LR",2000,171,2000-06-19,1,0.000,1,"N",6.150,6.240,,,,
"LR",2000,171,2000-06-19,2,0.000,1,"N",6.060,6.280,,,,
"LR",2000,171,2000-06-19,2,0.000,2,"N",6.030,,,,,
"LR",2000,171,2000-06-19,1,4.000,1,"N",5.800,6.410,,,,
"LR",2000,171,2000-06-19,2,4.000,1,"N",5.960,6.200,,,,
"LR",2000,171,2000-06-19,1,6.000,1,"N",5.630,6.470,,,,
"LR",2000,171,2000-06-19,2,6.000,1,"N",5.580,6.590,,,,
"LR",2000,171,2000-06-19,1,9.000,1,"N",5.710,7.000,,,,
"LR",2000,187,2000-07-05,1,0.000,1,"N",6.160,6.520,9,,,
"LR",2000,187,2000-07-05,2,0.000,1,"N",5.760,6.460,14,,,
"LR",2000,187,2000-07-05,1,2.000,1,"N",6.100,6.270,10,,,
"LR",2000,187,2000-07-05,2,4.000,1,"N",5.710,6.500,18,,,
"LR",2000,187,2000-07-05,1,6.000,1,"N",5.480,6.550,26,,,
"LR",2000,187,2000-07-05,2,6.000,1,"N",5.590,7.170,125,,,
"LR",2000,187,2000-07-05,2,6.000,2,"N",5.580,,116,,,
"LR",2000,187,2000-07-05,1,9.000,1,"N",5.630,7.020,66,,,
"LR",2000,199,2000-07-17,1,0.000,1,"N",6.100,6.360,,,,
"LR",2000,199,2000-07-17,2,0.000,1,"N",6.140,6.160,,,,
"LR",2000,199,2000-07-17,1,4.000,1,"N",5.850,6.340,,,,
"LR",2000,199,2000-07-17,2,4.000,1,"N",5.800,6.370,,,,
"LR",2000,199,2000-07-17,2,6.000,1,"N",5.820,7.120,,,,
"LR",2000,199,2000-07-17,1,8.000,1,"N",5.420,6.460,,,,
"LR",2000,199,2000-07-17,1,8.000,2,"N",5.410,6.470,,,,
"LR",2000,199,2000-07-17,1,9.000,1,"N",5.610,6.650,,,,
"LR",2000,213,2000-07-31,1,0.000,1,"N",6.070,6.350,11,,,
"LR",2000,213,2000-07-31,2,0.000,1,"N",6.100,6.420,17,,,
"LR",2000,213,2000-07-31,1,4.000,1,"N",5.690,6.480,34,,,
"LR",2000,213,2000-07-31,2,4.000,1,"N",5.590,6.610,13,,,
"LR",2000,213,2000-07-31,2,6.000,1,"N",5.570,7.300,207,,,
"LR",2000,213,2000-07-31,2,6.000,2,"N",5.580,,193,,,
"LR",2000,213,2000-07-31,1,8.000,1,"N",5.080,6.530,27,,,
"LR",2000,213,2000-07-31,1,9.000,1,"N",5.760,7.060,98,,,
"LR",2000,227,2000-08-14,1,0.000,1,"N",5.980,6.230,,,,
"LR",2000,227,2000-08-14,2,0.000,1,"N",5.970,6.340,,,,
"LR",2000,227,2000-08-14,1,4.000,1,"N",5.690,6.360,,,,
"LR",2000,227,2000-08-14,2,4.000,1,"N",5.610,6.440,,,,
"LR",2000,227,2000-08-14,2,6.000,1,"N",5.500,7.240,,,,
"LR",2000,227,2000-08-14,1,8.000,1,"N",5.570,7.050,,,,
"LR",2000,227,2000-08-14,1,8.000,2,"N",5.570,,,,,
"LR",2000,227,2000-08-14,1,9.000,1,"N",5.870,7.210,,,,
"LR",2000,242,2000-08-29,1,0.000,1,"N",6.050,6.540,13,,,
"LR",2000,242,2000-08-29,2,0.000,1,"N",6.320,6.470,19,,,
"LR",2000,242,2000-08-29,1,4.000,1,"N",5.820,6.470,14,,,
"LR",2000,242,2000-08-29,2,4.000,1,"N",6.280,6.470,17,,,"L"
"LR",2000,242,2000-08-29,2,4.000,2,"N",6.300,6.530,34,,,
"LR",2000,242,2000-08-29,1,6.000,1,"N",5.490,6.810,37,,,
"LR",2000,242,2000-08-29,2,6.000,1,"N",5.480,7.250,157,,,
"LR",2000,242,2000-08-29,1,9.000,1,"N",5.950,6.900,186,,,
"LR",2000,255,2000-09-11,1,0.000,1,"N",6.660,6.370,,,,
"LR",2000,255,2000-09-11,2,0.000,1,"N",6.470,6.670,,,,
"LR",2000,255,2000-09-11,1,4.000,1,"N",6.230,6.400,,,,
"LR",2000,255,2000-09-11,2,4.000,1,"N",6.190,6.590,,,,
"LR",2000,255,2000-09-11,1,6.000,1,"N",5.620,6.730,,,,
"LR",2000,255,2000-09-11,2,6.000,1,"N",5.500,6.690,,,,
"LR",2000,255,2000-09-11,2,6.000,2,"N",5.510,6.750,,,,
"LR",2000,255,2000-09-11,1,9.000,1,"N",5.970,6.800,,,,
"LR",2000,269,2000-09-25,1,0.000,1,"N",5.940,6.400,7,,,
"LR",2000,269,2000-09-25,2,0.000,1,"N",6.410,6.590,21,,,
"LR",2000,269,2000-09-25,2,4.000,1,"N",6.310,6.580,18,,,
"LR",2000,269,2000-09-25,1,6.000,1,"N",5.240,6.430,14,,,
"LR",2000,269,2000-09-25,2,6.000,1,"N",6.210,6.550,19,,,
"LR",2000,269,2000-09-25,2,6.000,2,"N",6.190,6.520,18,,,
"LR",2000,269,2000-09-25,1,8.000,1,"N",5.310,6.810,33,,,
"LR",2000,269,2000-09-25,1,9.000,1,"N",6.010,6.760,215,,,
"LR",2000,283,2000-10-09,1,0.000,1,"N",6.160,6.460,,,,
"LR",2000,283,2000-10-09,2,0.000,1,"N",6.860,6.550,,,,
"LR",2000,283,2000-10-09,1,4.000,1,"N",6.050,6.500,,"L",,
"LR",2000,283,2000-10-09,2,4.000,1,"N",6.800,6.590,,,,
"LR",2000,283,2000-10-09,1,4.000,2,"N",5.960,6.530,,,,
