lakeid,year4,daynum,sampledate,depth,rep,sta,wtemp,o2,o2sat,cond,deck,light,frlight,chlor,phaeo,flagwtemp,flago2,flago2sat,flagcond,flagdeck,flaglight,flagfrlight,flagchlor,flagphaeo
"LR",2000,31,2000-01-31,0.000,1,1,0.500,11.100,81.700,,272,2.350,1.000,6.300,2.800,,,,,,,,,
"LR",2000,31,2000-01-31,0.000,1,2,0.600,12.700,93.800,,303,2.240,1.000,3.500,1.300,,,,,,,,,
"LR",2000,31,2000-01-31,0.500,1,1,,,,,271,2.000,0.852,,,,,,,,,,,
"LR",2000,31,2000-01-31,0.500,1,2,,,,,301,1.400,0.627,,,,,,,,,,,
"LR",2000,31,2000-01-31,1.000,1,1,2.900,9.000,70.800,,271,0.170,0.073,,,,,,,,,,,
"LR",2000,31,2000-01-31,1.000,1,2,3.600,5.300,42.500,,301,1.130,0.505,,,,,,,,,,,
"LR",2000,31,2000-01-31,1.500,1,1,,,,,269,-0.560,-0.240,,,,,,,,,,,
"LR",2000,31,2000-01-31,1.500,1,2,,,,,307,0.160,0.070,,,,,,,,,,,
"LR",2000,31,2000-01-31,2.000,1,1,4.100,7.100,57.700,,,,,0.900,2.600,,,,,,,,,
"LR",2000,31,2000-01-31,2.000,1,2,4.100,4.900,39.800,,315,-0.100,-0.044,0.700,2.700,,,,,,,,,
"LR",2000,31,2000-01-31,3.000,1,1,4.100,6.800,55.200,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,3.000,1,2,4.200,4.800,39.100,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,4.000,1,1,4.200,6.800,55.400,,,,,0.500,2.700,,,,,,,,,
"LR",2000,31,2000-01-31,4.000,1,2,4.200,4.800,39.100,,,,,0.500,2.800,,,,,,,,,
"LR",2000,31,2000-01-31,5.000,1,1,4.200,6.300,51.300,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,5.000,1,2,4.200,4.800,39.100,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,6.000,1,1,4.300,5.500,44.900,,,,,0.300,2.900,,,,,,,,,
"LR",2000,31,2000-01-31,6.000,1,2,4.200,4.600,37.500,,,,,0.400,2.800,,,,,,,,,
"LR",2000,31,2000-01-31,6.000,2,2,,,,,,,,0.500,2.800,,,,,,,,,
"LR",2000,31,2000-01-31,7.000,1,1,4.400,3.900,31.900,,,,,,,,,,,,,,,
"LR",2000,31,2000-01-31,8.000,1,1,4.500,1.600,13.100,,,,,4.000,7.900,,,,,,,,,
"LR",2000,31,2000-01-31,9.000,1,1,4.700,0.200,1.600,,,,,44.700,22.200,,,,,,,,,
"LR",2000,62,2000-03-02,0.000,1,1,1.300,9.700,73.000,16,1337,303.600,1.000,0.600,1.400,,,,,,,,,
"LR",2000,62,2000-03-02,0.000,1,2,1.600,9.100,69.100,14,1386,387.100,1.000,0.500,1.200,,,,,,,,,
"LR",2000,62,2000-03-02,0.000,2,1,,,,17,,,,1.400,1.600,,,,,,,,,
"LR",2000,62,2000-03-02,0.500,1,1,,,,,1337,249.900,0.823,,,,,,,,,,,
"LR",2000,62,2000-03-02,0.500,1,2,,,,,1419,338.000,0.853,,,,,,,,,,,
"LR",2000,62,2000-03-02,1.000,1,1,3.700,5.700,45.800,,1338,164.500,0.541,,,,,,,,,,,
"LR",2000,62,2000-03-02,1.000,1,2,4.000,3.500,28.300,,1394,219.400,0.564,,,,,,,,,,,
"LR",2000,62,2000-03-02,1.500,1,1,,,,,1339,90.100,0.296,,,,,,,,,,,
"LR",2000,62,2000-03-02,1.500,1,2,,,,,1367,155.800,0.408,,,,,,,,,,,
"LR",2000,62,2000-03-02,2.000,1,1,4.100,5.200,42.200,,1338,73.100,0.241,1.300,2.000,,,,,,,,,
"LR",2000,62,2000-03-02,2.000,1,2,4.300,3.300,26.900,,1357,106.700,0.282,1.600,2.300,,,,,,,,,
"LR",2000,62,2000-03-02,2.500,1,1,,,,,1339,50.120,0.165,,,,,,,,,,,
"LR",2000,62,2000-03-02,2.500,1,2,,,,,1265,70.600,0.200,,,,,,,,,,,
"LR",2000,62,2000-03-02,3.000,1,1,4.200,5.100,41.500,,1341,36.480,0.120,,,,,,,,,,,
"LR",2000,62,2000-03-02,3.000,1,2,4.300,3.200,26.100,,1236,49.260,0.143,,,,,,,,,,,
"LR",2000,62,2000-03-02,3.500,1,1,,,,,1340,24.960,0.082,,,,,,,,,,,
"LR",2000,62,2000-03-02,3.500,1,2,,,,,1214,35.010,0.103,,,,,,,,,,,
"LR",2000,62,2000-03-02,4.000,1,1,4.200,5.100,41.500,15,1341,18.430,0.061,1.300,2.300,,,,,,,,,
"LR",2000,62,2000-03-02,4.000,1,2,4.300,3.200,26.100,14,1092,23.680,0.078,1.100,2.700,,,,,,,,,
"LR",2000,62,2000-03-02,4.500,1,1,,,,,1340,13.070,0.043,,,,,,,,,,,
"LR",2000,62,2000-03-02,4.500,1,2,,,,,1029,16.470,0.057,,,,,,,,,,,
"LR",2000,62,2000-03-02,5.000,1,1,4.200,5.000,40.700,,1340,9.830,0.032,,,,,,,,,,,
"LR",2000,62,2000-03-02,5.000,1,2,4.300,3.100,25.300,,939,11.310,0.043,,,,,,,,,,,
"LR",2000,62,2000-03-02,5.500,1,1,,,,,1340,7.370,0.024,,,,,,,,,,,
"LR",2000,62,2000-03-02,5.500,1,2,,,,,983,8.680,0.032,,,,,,,,,,,
"LR",2000,62,2000-03-02,6.000,1,1,4.200,5.000,40.700,,1339,5.100,0.017,0.900,2.800,,,,,,,,,
"LR",2000,62,2000-03-02,6.000,1,2,4.300,3.000,24.500,14,922,5.880,0.023,2.100,0.900,,,,,,,,,
"LR",2000,62,2000-03-02,6.500,1,1,,,,,1340,3.970,0.013,,,,,,,,,,,
"LR",2000,62,2000-03-02,7.000,1,1,4.400,2.400,19.600,,1340,3.050,0.010,,,,,,,,,,,
"LR",2000,62,2000-03-02,7.500,1,1,,,,,1340,2.090,0.007,,,,,,,,,,,
"LR",2000,62,2000-03-02,8.000,1,1,4.500,1.000,8.200,,1339,1.650,0.005,4.000,7.500,,,,,,,,,
"LR",2000,62,2000-03-02,8.500,1,1,,,,,1339,0.570,0.002,,,,,,,,,,,
"LR",2000,62,2000-03-02,9.000,1,1,4.700,0.100,0.800,22,1338,0.570,0.002,49.200,24.400,,,,,,,,,
"LR",2000,91,2000-03-31,0.000,1,1,5.100,9.000,75.000,14,259,150.900,1.000,8.400,4.300,,,,,,,,,
"LR",2000,91,2000-03-31,0.000,1,2,6.100,11.400,97.500,12,556,347.000,1.000,5.400,2.500,,,,,,,,,"L"
"LR",2000,91,2000-03-31,0.000,2,2,,,,12,,,,4.900,3.800,,,,,,,,,
"LR",2000,91,2000-03-31,0.500,1,1,,,,,262,103.900,0.681,,,,,,,,,,,
"LR",2000,91,2000-03-31,0.500,1,2,,,,,589,266.800,0.726,,,,,,,,,,,
"LR",2000,91,2000-03-31,1.000,1,1,5.000,9.100,75.600,,262,63.640,0.417,,,,,,,,,,,
"LR",2000,91,2000-03-31,1.000,1,2,5.800,11.700,99.300,,767,255.300,0.533,,,,,,,,,,,
"LR",2000,91,2000-03-31,1.500,1,1,,,,,264,58.180,0.378,,,,,,,,,,,
"LR",2000,91,2000-03-31,1.500,1,2,,,,,1259,355.900,0.452,,,,,,,,,,,
"LR",2000,91,2000-03-31,2.000,1,1,4.800,9.100,75.300,,266,39.030,0.252,8.500,4.000,,,,,,,,,
"LR",2000,91,2000-03-31,2.000,1,2,5.600,11.700,98.800,,561,109.200,0.312,5.200,2.300,,,,,,,,,
"LR",2000,91,2000-03-31,2.500,1,1,,,,,268,22.690,0.145,,,,,,,,,,,
"LR",2000,91,2000-03-31,2.500,1,2,,,,,547,80.900,0.237,,,,,,,,,,,
"LR",2000,91,2000-03-31,3.000,1,1,4.700,8.900,73.400,,270,16.940,0.108,,,,,,,,,,,
