lakeid,year4,daynum,sampledate,sta,secview,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud
"LR",2000,31,2000-01-31,1,,2.700,1120,1240,-2.000,,0,,100
"LR",2000,31,2000-01-31,2,,3.400,1245,1345,-4.000,"W  ",5,,100
"LR",2000,62,2000-03-02,1,,3.800,1220,1335,4.500,"N  ",2,,0
"LR",2000,62,2000-03-02,2,,3.900,1045,1155,3.300,"N  ",3,,60
"LR",2000,91,2000-03-31,1,2.400,2.300,1510,1605,13.000,"SW ",5,1,100
"LR",2000,91,2000-03-31,2,3.300,3.000,1344,1456,15.000,"W  ",10,2,100
"LR",2000,117,2000-04-26,1,3.200,2.700,1125,1235,20.000,,0,0,10
"LR",2000,117,2000-04-26,2,3.200,3.000,1245,1325,22.000,,0,0,10
"LR",2000,130,2000-05-09,1,4.700,4.400,1005,1130,13.600,"N  ",5,4,80
"LR",2000,130,2000-05-09,2,4.200,3.900,1146,1240,15.000,"N  ",5,2,100
"LR",2000,146,2000-05-25,1,6.200,5.800,1116,1225,15.600,"NW ",4,2,60
"LR",2000,146,2000-05-25,2,5.000,3.500,1234,1310,16.200,"W  ",10,4,35
"LR",2000,157,2000-06-05,1,5.200,4.300,1042,1215,19.000,"E  ",4,2,5
"LR",2000,157,2000-06-05,2,4.000,2.900,1230,1320,21.300,,0,1,5
"LR",2000,171,2000-06-19,1,3.600,3.300,1125,1235,19.500,"S  ",6,1,80
"LR",2000,171,2000-06-19,2,2.300,2.200,1010,1115,20.300,"S  ",8,1,100
"LR",2000,187,2000-07-05,1,3.300,2.800,1425,1550,27.500,"W  ",6,2,60
"LR",2000,187,2000-07-05,2,2.500,2.200,1100,1230,28.500,"SW ",7,2,70
"LR",2000,199,2000-07-17,1,3.500,2.600,1125,1255,23.500,"W  ",10,2,15
"LR",2000,199,2000-07-17,2,2.300,1.800,1307,1400,23.400,"W  ",20,5,0
"LR",2000,213,2000-07-31,1,2.300,2.000,1210,1350,27.000,,0,0,60
"LR",2000,213,2000-07-31,2,2.100,1.900,1020,1145,27.500,,0,0,30
"LR",2000,227,2000-08-14,1,2.800,2.400,1020,1115,26.000,"W  ",13,4,100
"LR",2000,227,2000-08-14,2,3.600,3.100,1130,1213,26.100,"W  ",13,1,40
"LR",2000,242,2000-08-29,1,3.100,3.400,1256,1440,23.500,"E  ",7,3,0
"LR",2000,242,2000-08-29,2,3.600,3.900,1007,1154,20.000,"NE ",1,1,0
"LR",2000,255,2000-09-11,1,4.100,4.000,1246,1340,22.400,"N  ",5,2,100
"LR",2000,255,2000-09-11,2,2.600,2.600,1134,1230,21.800,"N  ",3,1,100
"LR",2000,269,2000-09-25,1,6.900,6.000,1231,1345,13.500,"W  ",1,1,30
"LR",2000,269,2000-09-25,2,3.800,3.600,1117,1220,13.000,,0,0,50
"LR",2000,283,2000-10-09,1,6.300,4.500,957,1123,7.500,"NE ",10,2,10
"LR",2000,283,2000-10-09,2,5.700,4.500,1133,1222,8.700,"NE ",13,3,1
"LR",2000,297,2000-10-23,1,4.900,4.700,1212,1323,14.700,"SE ",4,0,100
"LR",2000,297,2000-10-23,2,4.200,4.100,1055,1159,13.500,"SE ",4,0,100
