consumer,resource
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,67
1,68
1,69
1,70
1,74
1,75
1,80
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
1,119
1,120
1,121
1,124
4,1
4,5
4,7
4,9
4,11
4,12
4,13
4,17
4,18
4,19
4,20
4,22
4,23
4,24
4,25
4,26
4,55
4,56
4,66
4,67
4,68
4,71
4,72
4,73
4,75
4,76
4,77
4,78
4,79
4,83
4,84
4,86
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,104
4,105
4,106
4,107
4,108
4,109
4,110
4,111
4,112
4,113
4,114
4,115
4,116
4,119
4,120
4,122
4,123
4,124
4,128
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,53
5,54
5,65
5,67
5,68
5,69
5,70
5,71
5,72
5,73
5,74
5,75
5,79
5,82
5,83
5,84
5,85
5,86
5,87
5,88
5,89
5,90
5,91
5,92
5,93
5,94
5,95
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,113
5,114
5,115
5,116
5,119
5,120
5,121
5,122
5,123
5,124
6,1
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,65
6,69
6,70
6,72
6,73
6,74
6,75
6,76
6,77
6,78
6,79
6,83
6,84
6,86
6,87
6,122
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
7,67
7,68
7,69
7,70
7,74
7,75
7,79
7,82
7,83
7,84
7,85
7,86
7,87
7,88
7,89
7,90
7,91
7,92
7,93
7,94
7,95
7,96
7,97
7,98
7,99
7,100
7,101
7,102
7,104
7,105
7,106
7,107
7,108
7,109
7,110
7,111
7,112
7,113
7,114
7,115
7,116
7,119
7,120
7,121
7,122
7,124
8,1
8,5
8,7
8,9
8,11
8,12
8,13
8,15
8,19
8,22
8,23
8,24
8,25
8,27
8,56
8,65
8,68
8,69
8,71
8,72
8,73
8,74
8,75
8,76
8,77
8,78
8,79
8,80
8,82
8,83
