200,181,,,,,,,,,fine organic matter, ,
61,56,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Acanthocyclops,sp.,,benthic copepods,Acanthocyclops sp.,zoop
55,50,Animalia,Arthropoda,Branchiopoda,Cladocera,Macrothricidae,Acantholeberis,curvirostris,,benthic cladocera,Acantholeberis curvirostris,zoop
72,67,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,sp.,,trichoptera,Agrypnia sp.,
90,84,Animalia,Arthropoda,Insecta,Diptera, ,Albabesmyia,sp.,,diptera,Albabesmyia sp.,
47,42,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,affinis,,benthic cladocera,Alona affinis,zoop
51,46,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,excisa,,benthic cladocera,Alona excisa,zoop
50,45,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,intermedia,,benthic cladocera,Alona intermedia,zoop
48,43,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,quadrangularis,,benthic cladocera,Alona quadrangularis,zoop
49,44,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,rustica,,benthic cladocera,Alona rustica,zoop
7,5,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,,rock bass juv.,Ambloplites rupestris,
8,6,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,,rock bass,Ambloplites rupestris,
166,155,Monera,Eubacteria,,,,Anabaena,sp.,,cyanobacteria,Anabaena sp.,
76,71,Animalia,Arthropoda,Insecta,Odonata,,Anisopetra ,sp.,,odonata,Anisopetra  sp.,
178,167,Protoctista,,,,,Ankistrodesmus,sp.,,green algae,Ankistrodesmus sp.,
161,150,Monera,Eubacteria,,,,Aphanocapsa,sp.,,cyanobacteria,Aphanocapsa sp.,
165,154,Monera,Eubacteria,,,,Aphanothece,sp.,,cyanobacteria,Aphanothece sp.,
167,156,Protoctista,,,,,Arthrodesmus,sp.,,green algae,Arthrodesmus sp.,
39,36,Animalia,Rotifera,Monogonanta,Ploima,Asplanchidae,Asplanchna,sp.,,pelagic rotifers,Asplanchna sp.,zoop
188,175,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Asterionella,sp.,,chrysophyceae,Asterionella sp.,
131,122,Proctoctista, , , , ,Bambusina,sp.,,filamentous algae,Bambusina sp.,
73,68,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Banksiola,sp.,,trichoptera,Banksiola sp.,
132,123,Proctoctista,Rhodophyta,Rhodophyceae,Nemalionales,Batrachospermaceae,Batrachospermum,sp.,,filamentous algae,Batrachospermum sp.,
86,80,Animalia,Arthropoda,Insecta,Diptera,Ceroptogonidae,Bezzia,sp.,,diptera,Bezzia sp.,
133,124,Proctoctista,Chlorophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Binuclearia,sp.,,filamentous algae,Binuclearia sp.,
20,17,Animalia,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Bosmina,longirostris,,pelagic cladocera,Bosmina longirostris,zoop
134,125,Proctoctista,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,sp.,,filamentous algae,Bulbochaete sp.,
68,63,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,sp.,,ephemeroptera,Caenis sp.,
119,112,Animalia,Mollusca,Gastropoda,Mesogastropoda,Viviparidae,Campeloma,decisum,,mollusc,Campeloma decisum,
97,91,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chaetocladius,sp.,,chironomid,Chaetocladius sp.,
89,83,Animalia,Arthropoda,Insecta,Diptera,Choaboridae,Chaoborus,punctipennis,,diptera,Chaoborus punctipennis,
104,98,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,sp.,,chironomid,Chironomus sp.,
88,82,Animalia,Arthropoda,Insecta,Diptera,Choaboridae,Choaborus,albatus,,diptera,Choaborus albatus,
158,147,Proctoctista,Cyanophyta,Myxophyceae,Chroococcales,Chroococcaceae,Chroococcus,sp.,,cyanobacteria,Chroococcus sp.,
186,173,Protoctista,nf,nf,nf,nf,Chroomonas,sp.,,cryptophyta,Chroomonas sp.,
53,48,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,sp1,,benthic cladocera,Chydorus sp1,zoop
54,49,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,sp2,,benthic cladocera,Chydorus sp2,zoop
105,99,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cladopelma,sp.,,chironomid,Cladopelma sp.,
80,75,Animalia,Arthropoda,Insecta,Neuroptera,Sisyridae,Climacia,sp.,,neuroptera,Climacia sp.,
91,85,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,sp.,,chironomid,Clinotanypus sp.,
163,152,Monera,Eubacteria,,,,Coelosphaerium,sp.,,cyanobacteria,Coelosphaerium sp.,
29,26,Animalia,Rotifera,Monogonanta,Flosculariacea,Conochilidae,Conochiloides,sp.,,pelagic rotifers,Conochiloides sp.,zoop
28,25,Animalia,Rotifera,Monogonanta,Flosculariacea,Conochilidae,Conochilus,unicornis,,pelagic rotifers,Conochilus unicornis,zoop
127,120,Animalia,Porifera,Demospongiae,nf,nf,Corvomyenia,everetti,,porifera,Corvomyenia everetti,
98,92,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,sp.,,chironomid,Corynoneura sp.,
168,157,Protoctista,,,,,Cosmarium,sp.,,green algae,Cosmarium sp.,
124,117,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,gracilis,,amphipod,Crangonyx gracilis,
99,93,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,sp.,,chironomid,Cricotopus sp.,
169,158,Protoctista,,,,,Crucigenia,sp.,,green algae,Crucigenia sp.,
106,100,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,sp.,,chironomid,Cryptochironomus sp.,
187,174,Protoctista,nf,nf,nf,nf,Cryptomonas,sp.,,cryptophyta,Cryptomonas sp.,
22,19,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Daphnia,galeata,mendotae,pelagic cladocera,Daphnia galeata,zoop
23,20,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphnidae,Daphnia,parvula,,pelagic cladocera,Daphnia parvula,zoop
135,126,Proctoctista, , , , ,Desmidium,sp.,,filamentous algae,Desmidium sp.,
16,13,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Cyclopidae,Diacyclops,thomasi,,pelagic copepod,Diacyclops thomasi,zoop
24,21,Animalia,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,birgei,,pelagic cladocera,Diaphanosoma birgei,zoop
15,12,Animalia,Arthropoda,Maxillopoda,Copepoda,Diaptomidae,Diaptomus,minutus,,pelagic copepod,Diaptomus minutus,zoop
189,176,Protoctista,Chlorophyta,Chrysophyceae,nf,nf,Dinobryon,sp.,,chrysophyceae,Dinobryon sp.,
52,47,Animalia,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Disparalona,acutirostris,,benthic cladocera,Disparalona acutirostris,zoop
92,86,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Djalmabatista,sp.,,chironomid,Djalmabatista sp.,
180,169,Protoctista,,,,,Elaktothrix,sp.,,green algae,Elaktothrix sp.,
79,74,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,sp.,,odonata,Enallagma sp.,
107,101,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Endochrionomus,sp.,,chironomid,Endochrionomus sp.,
85,79,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Eoparagyractis,sp.,,lepidoptera,Eoparagyractis sp.,
126,119,Animalia,Porifera,Demospongiae,Ceractinormorpha,nf,Ephydatia,muelleri,,porifera,Ephydatia muelleri,
19,16,Animalia,Arthropoda,Maxillopoda,Eucopepoda,Temoridae,Epischura,lacustris,,pelagic copepod,Epischura lacustris,zoop
170,159,Protoctista,,,,,Euastrum,sp.,,green algae,Euastrum sp.,
