"taxon_name_new","n_obs","avg_dens","sd_dens","cv_dens"
"Ascomorpha eucadis",44,2.25722727272727,4.01128710343895,1.77708605239044
"Bosmina longirostris",70,19.2511285714286,22.3766390748829,1.16235466361661
"Conochiloides dossuarius",65,6.299,12.2654938814648,1.94721287211697
"Conochilus (colonial)",16,3.9458125,3.96056191667714,1.0037379922835
"Conochilus (solitary)",30,14.0625666666667,21.3619913247214,1.51906773714054
"Cyclops varians rubellus",29,0.670034482758621,1.23587101970226,1.84448868155862
"Daphnia pulex",60,1.38986666666667,1.64054227771544,1.18035946689042
"Daphnia rosea",52,1.20801923076923,2.07661243271376,1.71902266108085
"Diaptomus oregonensis",9,0.065,0.0394525030891577,0.606961585987042
"Filinia longispina",1,0.365,NA,NA
"Gastropus hyptopus",30,22.4728333333333,31.5199856227905,1.40258173748113
"Gastropus stylifer",59,2.41894915254237,3.74751119905266,1.54923107627704
"Holopedium gibberum",53,1.59383018867925,4.80983312414766,3.0177826711473
"Kellicottia bostoniensis",89,9.87775280898876,25.0440867690817,2.53540326968818
"Kellicottia longispina",23,0.405652173913043,0.456440039743911,1.12520052669989
"Keratella cochlearis",113,45.5215221238938,56.3789181468787,1.23851126931641
"Keratella testudo",22,2.81981818181818,7.28147645046671,2.58225033706667
"Leptodiaptomus siciloides",4,0.47975,0.470248427252376,0.980194741537001
"Orthocyclops modestus",42,0.864738095238095,1.64257186885902,1.89950214741812
"Ploesoma sp.",53,7.20628301886792,7.18361100105746,0.996853854094947
"Polyarthra vulgaris",112,20.7901785714286,30.9597411113132,1.4891522458523
"Synchaeta sp.",73,5.27876712328767,6.79027693658887,1.28633765763848
"Trichocerca cylindrica",79,8.63807594936709,9.98501196508425,1.15593009642568
"Trichocerca multicrinis",69,7.43904347826087,8.12454831221364,1.09214959368849
"Tropocyclops prasinus",81,3.33708641975309,3.73211512147445,1.11837532866488
