"taxon_name_new","year4","n_obs","avg_conc","sd_conc","cv_conc"
"Anabaena circinalis",1984,1,0.01,NA,NA
"Anabaena circinalis",1986,1,0.062,NA,NA
"Ankyra judayi",1985,2,0.01,0,0
"Ankyra judayi",1986,11,0.128181818181818,0.146885546043045,1.14591560742801
"Ankyra judayi",1987,1,0.16,NA,NA
"Arthrodesmus sp.",1988,7,0.0232857142857143,0.0308367436981398,1.32427733672993
"Asterionella formosa",1984,4,0.05325,0.0415561868638915,0.780397875378244
"Asterionella formosa",1985,5,0.1768,0.123887852511858,0.700723147691507
"Asterionella formosa",1988,2,0.027,0,0
"Asterionella formosa",1989,15,0.0728,0.0849615038876852,1.16705362483084
"Asterionella formosa",1990,6,0.0215,0.0150963571764847,0.702156147743473
"Chroococcus dispersus",1984,6,0.196333333333333,0.258001291986429,1.31409826139098
"Chroococcus dispersus",1985,1,0.138,NA,NA
"Chroococcus dispersus",1986,1,0.047,NA,NA
"Chroococcus dispersus",1987,1,0.156,NA,NA
"Chrysosphaerella longispina",1984,17,0.0417058823529412,0.0354502551222878,0.850006117177564
"Chrysosphaerella longispina",1985,4,0.07675,0.0536741713179316,0.699337737041454
"Chrysosphaerella longispina",1988,11,0.407181818181818,0.621455359327091,1.52623553306497
"Chrysosphaerella longispina",1989,9,0.093,0.0848601791183592,0.912475044283432
"Chrysosphaerella longispina",1990,9,0.180111111111111,0.379811612659633,2.10876280933788
"Closteriopsis longissimus",1984,32,0.4989375,0.613902111430931,1.23041886294562
"Closteriopsis longissimus",1985,32,0.27915625,0.179309987375441,0.642328399867245
"Closteriopsis longissimus",1986,4,0.00475,0.000957427107756338,0.201563601632913
"Closteriopsis longissimus",1988,8,0.9875,1.29984515561332,1.31629889176033
"Closteriopsis longissimus",1989,13,0.543692307692308,0.827563127966218,1.52211667565943
"Closteriopsis longissimus",1990,17,0.673823529411765,1.49885357170464,2.2244007611505
"Cosmarium sp.",1988,3,0.013,0,0
"Cosmarium sp.",1989,1,0.04,NA,NA
"Dactylococcopsis fascicularis",1985,12,1.3885,2.00998753953623,1.44759635544561
"Dactylococcopsis fascicularis",1986,2,0.0085,0.000707106781186547,0.0831890330807702
"Diceras sp.",1984,6,0.140666666666667,0.106441846407636,0.756695590575608
"Diceras sp.",1985,6,0.118833333333333,0.0860800015489467,0.724375889612455
"Diceras sp.",1986,3,0.00933333333333333,0.000577350269189626,0.0618589574131742
